"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue.pNIE"
"0.516","0.642","-6.11196353910852","3.59236899031233","0.363636363636364","0.9987","0.516666666666667","-1.75279421843212","1.31715549721441","0.617909360156121"
"0.698","0.336","-4.45016398667563","2.24498925776249","0.727272727272727","0.9005","0.574","-2.51476038252603","1.90160010190022",NA
"0.623","0.803","-6.7903276723982","7.09771311608823","0.909090909090909","0.9748","0.638","-7.22112458421157","4.73350725651922","0.442766983904272"
"0.91","0.977","-2.28916181916386","2.34203901366489","0.545454545454545","0.9999","0.963333333333333","-1.86853830360472","1.37489594143046","0.195210566968711"
"0.347","0.878","-2.45592273404668","2.01860069421489","0.636363636363636","0.9734","0.307","-0.37847234165378","0.628588759736806","0.277463219848742"
"0.919","0.747","-0.702101802190852","2.62473049519418","0.909090909090909","0.9782","0.803333333333333","-0.0429584926940136","0.249882140920333",NA
"0.604","0.686","-1.55381826709389","1.00003827048451","0.272727272727273","1","0.676","-0.739016140202237","1.59627573469466","0.539006843591289"
"0.616","0.561","-0.830749918563251","3.07799885329349","0.363636363636364","0.9988","0.9","-0.702812211894877","0.83037712050573","0.488534988646014"
"0.99","0.998","-1.67604299701732","1.55083569655327","1","1","1","-0.755381287637217","1.48284811752056","0.657352850219049"
"0.553","0.592","-0.574880124679504","0.574356299295712","0.818181818181818","0.9782","0.633333333333333","-0.297660046685565","0.169863407329182","0.692663123016769"
"0.977","0.965","-2.54957922323625","3.3981353913879","0.909090909090909","0.6395","0.933333333333333","-0.185059714541913","0.617105461338688","0.915681749501958"
"0.09","0.169","-1.33969911380398","1.81193045419092","0.272727272727273","0.9354","0.357","-1.66081474979408","0.7809549028281","0.954701522482621"
"0.477","0.9","-0.640289226823937","0.506170967535979","0.181818181818182","0.4287","0.93","-0.0677944105989881","0.481886744487389","1"
"0.846","0.559","-0.470385862569259","0.449288579146738","0.0909090909090909","0.8792","0.676666666666667","-0.38562922724888","0.15782253990689","0.689891648668677"
"0.897","1","-3.68453463327019","2.90617280195795","0.818181818181818","1","0.967","-1.80486594606344","1.43920004438802","1"
