"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%"
0.428,0.784,-0.997913319911221,1.22676688781081,0.9913,0.602,-0.63280888234597,0.343648296311835,0.428
0.944,0.73,-0.610455868196069,0.481674019069819,0.636363636363636,0.9952,0.821,-0.308908193907578,0.334837340960034
0.345,0.099,-0.670944361650578,1.41335445698923,0.818181818181818,0.7568,0.256666666666667,-0.00789333778118969,0.0211596156827078
0.881,0.954,-1.31430428576181,2.87386706954278,0.363636363636364,1,0.9875,-0.775598192376067,0.548708109695988
0.447,0.688,-4.01120942534815,5.17309708561251,0.727272727272727,0.9986,0.55,-0.143402598671793,0.270511817813778
0.762,0.438,-0.536430560734912,0.421270663751554,0.909090909090909,0.9997,0.77,-0.231745961724992,0.146780098997227
0.764,0.9,-1.99723534994791,4.86629713988797,1,0.7479,0.976666666666667,-0.935816685652062,0.0989355142379447
0.497,0.84,-0.344654674520028,1.24022293806141,1,0.94,0.94,-0.241832610442799,0.327661296586758
0.712,0.461,-2.17623799151994,1.14203485036184,0.545454545454545,1,0.86,-0.902196600203639,1.35655936898331
0.367,0.529,-0.45119294613155,0.787570121667658,0.9746,0.552,-0.755003598661502,0.474482111371793,0.367
0.106,0.149,-0.584207060757373,0.683665731236883,0.363636363636364,0.9171,0.153,-0.105979030140363,0.137908213170308
0.837,0.961,-3.16018171886839,4.35819055494568,0.272727272727273,0.9912,0.88,-0.122298026729893,0.0103500894884097
0.978,0.999,-0.621323631481035,1.82132118408741,0.909090909090909,0.9954,1,-0.0335662242205938,0.0719644816702964
0.842,0.977,-0.56098656270635,0.287357877886775,0.454545454545455,0.6955,0.97,-0.102506914543647,0.0712576598501223
0.642,0.599,-1.283487809548,0.93415848072994,0.0909090909090909,0.8182,0.623,-0.773647004154697,1.05721457295347
0.823,0.885,-1.16109616453664,1.63312350961623,0.909090909090909,0.9993,0.955,-0.605938316997946,0.267611679059483
0.913,0.898,-1.91206023465542,1.19715247838539,0.545454545454545,0.9871,0.925,-0.986620371889446,0.808402590311161
0.972,0.96,-4.25946577252939,5.46459237018899,1,0.9996,0.984,-0.300797133522379,0.273904711185451
0.663,0.871,-0.959156130322989,1.988754481129,NA,0.9881,0.81,-0.653216423175936,0.285857289779907
0.847,0.733,-6.13522512693601,0.85846267498804,0.454545454545455,0.8977,0.958,-0.252469728541287,1.03470690815703
0.793,0.804,-1.78176640506032,0.839697974310197,0.181818181818182,0.936,0.129,-0.418455178562406,0.482989500436937
0.871,0.983,-0.36703820773699,1.15307027493005,0.636363636363636,0.9992,1,-0.1765947228018,0.268145735098068
0.351,0.878,-2.9562712457297,6.73387708272807,0.454545454545455,0.9999,0.86,-0.677820095317861,0.43008142227158
0.608,0.632,-3.00711860596492,5.95539713972712,1,0.9999,0.541,-0.238923459904196,0.456770921331222
0.93,0.942,-8.61442956920844,7.47606672716983,0.909090909090909,0.9997,0.945,-2.47188420379216,4.40369253836369
0.223,0.308,-11.839816603249,2.75868185138983,0.727272727272727,0.9158,0.328,-1.39828828186019,1.07540849085239
0.996,0.536,-0.700004142160275,1.55319065438394,0.0909090909090909,0.8166,0.75,-0.793538725123527,0.792887282899488
0.497,0.631,-3.58987723527745,3.6833705835893,0.727272727272727,0.9038,0.442,-0.366279016643214,0.207607625714982
0.253,0.342,-2.22009234013339,1.56350996799398,0.0909090909090909,0.915,0.53,-0.615751085043911,0.980864480311219
0.627,0.516,-3.78374545895911,6.71670927969046,0.818181818181818,1,0.81,-0.16159663748874,0.0248177928472656
0.717,0.577,-0.643880536461705,5.75219486931092,0.727272727272727,0.0755,0.6675,-2.23067200979761,2.33061614428393
0.645,0.921,-2.56189849781125,6.99928411218401,0.636363636363636,0.9963,0.885,-0.386958417639989,0.893969205618546
0.346,0.445,-4.59802557815039,6.27942283310919,0.727272727272727,0.9963,0.55,-1.12659491107828,1.33420171632421
0.641,0.552,-10.3627786989166,7.5850243751832,0.0909090909090909,0.9962,0.636,-0.860092741805291,0.717480500255741
0.945,0.903,-1.81352530450071,1.15179192682694,0.909090909090909,1,0.995,-1.77872560875142,1.10779324189222
0.861,0.984,-6.50231261863317,9.27541777041499,0.272727272727273,0.9983,1,-0.436318713878471,1.30007003599503
0.545,0.729,-1.78942204245911,2.24509868602374,0.545454545454545,1,0.653333333333333,-1.0128992699916,0.725165517484479
0.595,0.556,-3.97249809529826,5.23798121759264,0.545454545454545,0.8676,0.786666666666667,-0.191860155211235,0.441961703722326
0.541,0.774,-1.64214423468969,1.24761982036594,0.727272727272727,0.951,0.773333333333333,-1.02690979620214,0.603403365327907
0.981,0.983,-15.653501381696,19.0596836776074,0.272727272727273,0.9999,0.975,-0.188102612372827,0.443795236426207
0.522,0.434,-31.8739255121404,1.96993091634902,0.727272727272727,0.2372,0.706666666666667,-0.218460353510578,3.9168827445242
0.754,0.584,-0.915461232252824,2.26001144153114,1,1,0.828,-0.871066288276831,1.1556330445994
