"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"ccmm",28,0,4,4,0,0,0
"ldm",28,0,0,4,0,0,0
"hima",28,0,0,4,0,0,0
"microbvs",28,0,2,4,0,0,0
"medzim",28,0,0,4,0,0,0
"ccmm",29,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",29,2,11,2,0.153846153846154,0.5,0.235294117647059
"hima",29,1,4,3,0.2,0.25,0.222222222222222
"microbvs",29,2,0,2,1,0.5,0.666666666666667
"medzim",29,0,0,4,0,0,0
"ccmm",30,0,2,4,0,0,0
"ldm",30,0,0,4,0,0,0
"hima",30,0,0,4,0,0,0
"microbvs",30,0,1,4,0,0,0
"medzim",30,0,0,4,0,0,0
"ccmm",31,1,1,3,0.5,0.25,0.333333333333333
"ldm",31,0,0,4,0,0,0
"microbvs",31,0,2,4,0,0,0
"medzim",31,0,0,4,0,0,0
"ccmm",32,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",32,1,1,3,0.5,0.25,0.333333333333333
"hima",32,1,2,3,0.333333333333333,0.25,0.285714285714286
"microbvs",32,0,0,4,0,0,0
"medzim",32,0,6,4,0,0,0
"ccmm",33,1,3,3,0.25,0.25,0.25
"ldm",33,1,1,3,0.5,0.25,0.333333333333333
"hima",33,0,0,4,0,0,0
"microbvs",33,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",33,0,1,4,0,0,0
"ccmm",34,1,0,3,1,0.25,0.4
"ldm",34,1,0,3,1,0.25,0.4
"hima",34,0,0,4,0,0,0
"microbvs",34,2,1,2,0.666666666666667,0.5,0.571428571428572
"medzim",34,0,1,4,0,0,0
"ccmm",35,0,0,4,0,0,0
"ldm",35,0,0,4,0,0,0
"microbvs",35,2,6,2,0.25,0.5,0.333333333333333
"medzim",35,0,0,4,0,0,0
"ccmm",36,3,0,1,1,0.75,0.857142857142857
"ldm",36,1,0,3,1,0.25,0.4
"hima",36,0,0,4,0,0,0
"microbvs",36,0,0,4,0,0,0
"medzim",36,0,0,4,0,0,0
"ccmm",37,0,0,4,0,0,0
"ldm",37,3,5,1,0.375,0.75,0.5
"microbvs",37,2,8,2,0.2,0.5,0.285714285714286
"medzim",37,0,5,4,0,0,0
"ccmm",38,0,4,4,0,0,0
"ldm",38,0,0,4,0,0,0
"hima",38,0,1,4,0,0,0
"microbvs",38,0,0,4,0,0,0
"medzim",38,0,4,4,0,0,0
"ccmm",39,1,0,3,1,0.25,0.4
"ldm",39,0,2,4,0,0,0
"hima",39,0,0,4,0,0,0
"microbvs",39,2,8,2,0.2,0.5,0.285714285714286
"medzim",39,0,2,4,0,0,0
"ccmm",40,1,1,3,0.5,0.25,0.333333333333333
"ldm",40,1,0,3,1,0.25,0.4
"hima",40,0,0,4,0,0,0
"microbvs",40,2,5,2,0.285714285714286,0.5,0.363636363636364
"medzim",40,1,1,3,0.5,0.25,0.333333333333333
"ccmm",41,1,0,3,1,0.25,0.4
"ldm",41,0,0,4,0,0,0
"hima",41,0,0,4,0,0,0
"microbvs",41,2,2,2,0.5,0.5,0.5
"medzim",41,0,2,4,0,0,0
"ccmm",42,0,0,4,0,0,0
"ldm",42,1,5,3,0.166666666666667,0.25,0.2
"microbvs",42,3,5,1,0.375,0.75,0.5
"medzim",42,0,8,4,0,0,0
"ccmm",43,2,0,2,1,0.5,0.666666666666667
"ldm",43,0,0,4,0,0,0
"microbvs",43,0,0,4,0,0,0
"medzim",43,0,0,4,0,0,0
"ccmm",44,1,4,3,0.2,0.25,0.222222222222222
"ldm",44,2,6,2,0.25,0.5,0.333333333333333
"hima",44,0,1,4,0,0,0
"microbvs",44,0,0,4,0,0,0
"medzim",44,0,5,4,0,0,0
"ccmm",45,0,1,4,0,0,0
"ldm",45,0,1,4,0,0,0
"hima",45,0,0,4,0,0,0
"microbvs",45,0,0,4,0,0,0
"medzim",45,0,8,4,0,0,0
"ccmm",46,0,1,4,0,0,0
"ldm",46,0,1,4,0,0,0
"hima",46,0,1,4,0,0,0
"microbvs",46,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",46,0,0,4,0,0,0
"ccmm",47,0,4,4,0,0,0
"ldm",47,3,3,1,0.5,0.75,0.6
"hima",47,0,0,4,0,0,0
"microbvs",47,2,2,2,0.5,0.5,0.5
"medzim",47,0,7,4,0,0,0
"ccmm",48,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",48,0,5,4,0,0,0
"hima",48,0,4,4,0,0,0
"microbvs",48,0,3,4,0,0,0
"medzim",48,0,4,4,0,0,0
"ccmm",49,2,2,2,0.5,0.5,0.5
"ldm",49,4,8,0,0.333333333333333,1,0.5
