"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue"
"0.596","0.674","-0.223633843707183","0.698113610959724","0.9048","0.454","-0.013107284347412","0.000580163097823396","0.0277035052517878","0.596"
"0.37","0.418","1.04699728543265","4.53984175176289","0.0909090909090909","0.0013998600139986","0.194","-1.29480899710141","1.08680214605621","0.814984770513856"
"0.991","0.995","-0.157989786598032","1.14902562950792","0.363636363636364","0.0058994100589941","0.98","-0.00442910592273998","0.100327542067569","0.857028700589831"
"0.91","0.99","-0.133893295092376","0.811049702507415","0.0909090909090909","0.9386","0.741","-0.0949481459640749","0.0673033764890461","0.632123679273111"
"0.106","0.18","-0.520042614126458","2.91923184806993","0.636363636363636","0.0672","0.010989010989011","-0.080419899301224","0.0166259964684878",NA
"0.542","0.62","-2.47542375997324","0.756420594050749","0.454545454545455","0.0334","0.381","-0.217045469218372","0.106575566679498","0.477194605580261"
"0.568","0.647","-6.12070373202942","1.54251778810643","0.181818181818182","0.0071992800719928","0.484","-3.11074818394611","6.96657347528711","0.983735935343646"
"0.201","0.433","-4.32342066145371","4.97473038548891","1","0.2676","0.159","-1.76112015056992","2.93653933004512","0.931449665646725"
"0.619","0.975","-4.04288905138564","3.09890525186012","0.181818181818182","0.9995","0.739","-1.38421524622171","1.46712441721267","0.98902250755791"
"0.452","0.274","-3.72372517562576","3.48052495572884","0.727272727272727","0.9774","0.276","-1.91725768473008","1.73287623921286",NA
"0.312","0.805","-1.38888822212402","1.94641676595483","1","0.636","0.142","-0.665539403210815","0.594293251714699","0.410734516304975"
"0.474","0.325","0.195390815532607","2.2500256327802","0.0909090909090909","0.109","0.119","-0.133902432239647","0.0852812907593375","0.865900614301563"
"0.67","0.667","-2.26970482980697","0.971255531968727","0.545454545454545","1","0.704444444444444","-0.77736000609301","0.86724524143101","0.680772564873031"
"0.777","0.951","-3.96777981793449","5.76461236050917","1","0.9997","0.638","-1.88678363991136","0.759282605811361","0.650250087688999"
"0.28","0.051","-0.0603802551680583","6.84099766304347","0.181818181818182","0.0003999600039996","0.184","-1.07252737172966","2.12723674186807","0.703789640286465"
"0.135","0.901","-0.827162577266571","2.23451840539609","0.636363636363636","0.0072992700729927","0.205","-0.773075920498567","0.465478258496867","0.695163588296377"
"0.699","0.908","-1.37983643166799","1.62899367213994","0.727272727272727","0.9784","0.696666666666667","-0.0202510856095","0.0358685740257996","0.999999979313089"
"0.723","0.735","-3.80255632053964","-0.136210234760966","0.181818181818182","0.9679","0.714","-0.856833159883869","1.73335305454859","0.937721716220194"
"0.159","0.294","-0.782143868208098","1.99531104618426","0.545454545454545","0.9997","0.291","-0.753229649139469","0.423928724659955","0.479063062184213"
"0.499","0.847","-0.777985297305831","4.96585137297405","0.818181818181818","0.331","0.591","-2.06608925883034","5.27566209715847","0.0768509369411055"
"0.445","0.884","-4.9001324251836","3.592266040652","1","0.25","-0.697224537978365","0.700014482150016","0.954945967807244","0.445"
"0.211","0.957","-0.299337919765112","3.70292116173473","0.272727272727273","0.0185","0.468","-0.751456611458413","0.933468496017626","0.612784838949376"
"0.616","0.874","-1.22070825281244","4.7406073860559","0.976","0.764","-0.128721021735943","0.140554508140571","0.526055446910749","0.616"
"0.949","0.811","-1.27851593026346","1.41251100172224","0.818181818181818","0.9846","0.824","-0.530873303884852","0.529870619791524","0.375126912880346"
"0.886","0.973","-1.25215375343121","0.272374977902205","0.818181818181818","0.1655","0.518","-1.14137643610602","0.464160846219226","0.469613454631813"
"0.82","0.898","-8.33615484902361","2.32939270196495","0.727272727272727","0.8203","0.799","-1.05998916011239","0.914594705303332","0.942475642370932"
"0.682","0.808","-2.60833884580745","4.12437199867815","0.909090909090909","0.9731","0.7725","-0.0852586753489477","0.116247675757536","0.702749563924847"
"0.178","0.062","0.674076376865002","19.5232228143289","0.636363636363636","0.0063993600639936","0.033966033966034","-1.55295294825544","2.2021034156217","0.801665080010926"
"0.981","0.958","-9.09786494336171","3.75354682703909","0.818181818181818","0.9846","0.945","-0.274897770558317","0.455730766709057","0.679311271481252"
"0.552","0.455","-5.1751197016587","13.2005907916574","0.909090909090909","0.9922","0.587","-1.06965498146046","0.910238959689194","0.456289830216156"
"0.434","0.321","0.479833494144655","14.4954654815712","1","0.0006999300069993","0.425","-0.353870710679389","0.485253273573407","0.755664446630218"
"0.275","0.191","-0.519306794310936","2.56989466329724","0.636363636363636","0.3293","0.197","-0.411247994808384","0.166442454239833","1"
"0.83","0.609","-0.743369014820142","1.34850675304497","0.818181818181818","0.9694","0.66","-0.339731768907918","0.77711288220988","0.701146258944816"
"0.351","0.724","-0.954129791569395","3.95201621573311","1","0.9946","0.825","-0.57188291074859","0.743022338515518","6.07419499465411e-05"
"0.328","0.389","0.302087520067842","7.37578209516607","1","0.9149","0.395","-0.873308722347861","1.04398131263612","1"
"0.934","0.992","-2.61578903751839","2.04273810093848","1","0.0614","0.975","-0.0723458067840278","0.0379762524284703","0.0869486194694973"
"0.707","0.777","0.190245657104681","9.73866720255358","0.454545454545455","0.2987","0.719","-4.67588141825226","2.81083377852","0.226831838473282"
"0.562","0.853","-0.986800878853006","1.01604326040684","0.909090909090909","0.6649","0.36","-0.469367402517625","0.517677445417063","0.97390596700764"
"0.795","0.968","-0.732220457207925","2.19440123230394","1","0.3029","0.665","-1.27650899864631","0.570909594348893","0.608217813804456"
"0.242","0.297","-1.10570745900546","4.59601268031435","0.909090909090909","0.2133","0.212","-0.713799061193367","0.196956021170848","5.43026177075578e-05"
"0.55","0.639","-7.84427886981749","5.00886215944024","0.909090909090909","0.9999","0.593333333333333","-0.209739485740636","0.0312412859446109","0.859438403587324"
"0.868","0.835","-4.02866548298302","3.31025126080106","1","0.863","0.8675","-0.210289636252113","0.240064031848196","0.510625887003902"
"0.95","0.988","-1.42998929690998","2.02237189567847","0.909090909090909","0.1572","0.942","-1.16838556677244","1.72219849866238","0.689442060990308"
"0.2","0.882","-2.65246660885025","1.75966796500832","0.818181818181818","0.9897","0.61","-0.869942450902166","0.484727530691451","0.891612021138418"
"0.98","0.898","-4.15651595180924","10.4201157159113","0.909090909090909","0.9971","0.978","-2.42337961602815","2.51102481464924","0.728098925970039"
"0.65","0.918","-2.73678253149766","2.65806378726437","0.909090909090909","0.9923","0.548","-0.552780029224633","0.9454193953974","0.721790290648119"
