"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.672,0.927,-0.0476640951648654,1.46801186898155,0.9992,0.875
0.915,0.622,0.0390870384544221,3.15658649741782,0.8978,0.605
0.324,0.29,-0.657679130639186,1.52161321244407,0.9972,0.248
0.66,0.988,-0.796932718520126,1.26573894540324,0.9999,0.92
0.919,0.828,-0.365724141790163,1.79213965063855,0.6473,0.522
0.72,0.669,-1.50022219770513,1.84333760519973,0.9941,0.744
0.094,0.155,-0.351399467560641,1.38039720519434,0.9296,0.492
0.991,0.766,-0.0276234595032367,2.53345938524244,0.7068,0.938
0.078,0.362,-0.151864260032799,1.29136953544775,0.4422,0.511
0.708,0.651,-0.228672701387958,1.61183608265482,0.8337,0.623333333333333
0.707,0.883,-0.508816237918945,1.30467163401059,0.3773,0.813
0.094,0.563,0.252732509371561,1.12831636374571,0.8437,0.514
0.985,0.274,-1.46160702166706,1.16010989236133,0.939,0.232
0.498,0.35,-0.78254686086007,1.53106681164293,0.6864,0.114
1,0.196,-2.20384341746409,1.17373233945297,0.7945,0.322
0.624,0.814,-0.910934177624555,1.19936417623892,0.0393,0.8725
0.488,0.121,-0.526652877812084,1.47626029742515,0.6844,0.272
0.1,0.245,-0.479813226074402,0.955751584346989,0.8265,0.386
0.339,0.742,-0.0820539408757748,1.1150537566292,0.909,0.401
0.356,0.369,-0.238053846491537,1.72396998789843,0.9892,0.768
0.708,0.992,0.0611419536670478,1.63620292720967,0.9972,0.846666666666667
0.829,0.607,-0.179250708538476,1.18339947135906,0.8359,0.567
0.898,0.961,-0.295637461605302,0.922684957060581,0.9816,0.488
0.874,0.977,-1.68997470388558,1.53458092874859,0.6417,0.852
0.095,0.569,-0.727319825059478,1.42021622794253,0.773,0.599
0.489,0.689,-0.0462642381988691,1.74890340707965,0.9994,0.856666666666667
0.411,0.499,-0.100242408645986,2.53448487274686,0.9849,0.613
0.143,0.47,0.359329433877526,1.66966804354068,0.9877,0.38
0.193,0.189,-0.564834978499829,1.33703221636599,0.3969,0.0619380619380619
0.986,0.735,-0.550461737929488,1.20568410829464,0.986,0.788
0.708,0.651,-0.228672701387958,1.61183608265482,0.8337,0.623333333333333
0.707,0.883,-0.508816237918945,1.30467163401059,0.3773,0.813
0.094,0.563,0.252732509371561,1.12831636374571,0.8437,0.514
0.985,0.274,-1.46160702166706,1.16010989236133,0.939,0.232
0.498,0.35,-0.78254686086007,1.53106681164293,0.6864,0.114
1,0.196,-2.20384341746409,1.17373233945297,0.7945,0.322
0.624,0.814,-0.910934177624555,1.19936417623892,0.0393,0.8725
0.488,0.121,-0.526652877812084,1.47626029742515,0.6844,0.272
0.1,0.245,-0.479813226074402,0.955751584346989,0.8265,0.386
0.339,0.742,-0.0820539408757748,1.1150537566292,0.909,0.401
0.356,0.369,-0.238053846491537,1.72396998789843,0.9892,0.768
0.708,0.992,0.0611419536670478,1.63620292720967,0.9972,0.846666666666667
0.829,0.607,-0.179250708538476,1.18339947135906,0.8359,0.567
0.898,0.961,-0.295637461605302,0.922684957060581,0.9816,0.488
0.874,0.977,-1.68997470388558,1.53458092874859,0.6417,0.852
0.095,0.569,-0.727319825059478,1.42021622794253,0.773,0.599
0.489,0.689,-0.0462642381988691,1.74890340707965,0.9994,0.856666666666667
0.411,0.499,-0.100242408645986,2.53448487274686,0.9849,0.613
0.143,0.47,0.359329433877526,1.66966804354068,0.9877,0.38
0.193,0.189,-0.564834978499829,1.33703221636599,0.3969,0.0619380619380619
1,0.176,-0.252330760655092,0.581897944786651,0.824,0.313
0.832,0.846,-0.0950007642156226,0.678130307624188,0.9033,0.76
0.201,0.14,-0.125460751912845,0.568992428619353,0.5774,0.224
0.731,0.79,-0.0444136618772209,0.697841223891618,0.9963,0.861
0.781,0.65,0.0472140076864352,0.677130788738632,0.9701,0.77
0.281,0.733,-0.174638768433905,0.556741907292177,0.0759,0.395
0.908,0.907,0.0598130713470561,0.617474024901137,0.9701,0.872
0.997,0.634,0.163025323665813,0.962358248227894,0.9982,0.928
0.996,0.098,-0.097804988398232,0.589256024584474,0.8223,0.438
