"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.432,0.902,-0.728124039855043,0.688584560649911,0.9417,0.6
0.492,0.753,-0.937790445451153,1.19381104581679,0.961,0.741
0.859,0.609,-0.474440527132829,1.06642698052492,0.8021,0.737
0.835,0.155,-0.634051146011877,1.70271452251196,0.4157,0.327777777777778
0.868,0.759,-0.417124950271502,1.40013637373728,0.985,0.798
0.866,0.95,-0.507547753032773,0.641347444683396,0.9994,0.975
0.36,0.825,-0.64238300383023,0.941695474040803,0.9999,0.726666666666667
0.35,0.261,-0.719846883889121,1.17191808056445,0.9984,0.302
0.249,0.796,-0.373210578472814,1.09863919910425,1,0.4525
0.911,0.975,-0.940460937952025,1.13036196851474,0.9873,0.708
0.309,0.83,0.088886441300181,1.35633512568714,0.9199,0.514
0.774,0.176,-0.856021464765078,1.16754549335398,0.9479,0.372222222222222
0.914,0.503,-0.577847707372922,0.983967015779754,0.9534,0.542
0.924,0.326,-0.315556672586038,2.601597085817,0.772,0.219
0.515,0.794,-0.339920982980521,1.1111939128878,0.996,0.886666666666667
0.698,0.742,-0.582961629198894,0.578503786321503,0.9766,0.559
0.583,0.319,-1.50714960822423,1.49846399422303,0.4019,0.577
0.24,0.403,-0.228357027457109,1.01933031402167,0.1992,0.444
0.548,0.263,-0.248046946889206,1.30618257597387,0.7528,0.524
0.468,0.516,-0.234344274250684,1.16356295565365,0.452,0.422
0.636,0.749,-1.04659702147899,1.02573178048148,0.9548,0.827
0.368,0.528,-0.803799001233413,0.915422602256701,0.4259,0.269
0.218,0.361,-1.19310898720282,1.06364571063853,0.5912,0.472
0.577,0.659,-0.15044740981895,1.17889984309305,0.9886,0.64375
0.454,0.959,-0.603531428136658,1.05464280091211,0.9985,0.3725
0.708,0.662,-0.59981975785255,1.46512558766728,0.9998,0.83
0.59,0.552,-0.574289550772961,0.921126159910354,0.9959,0.669
0.558,0.829,-0.60195447406332,1.02040441641528,0.9815,0.685
0.994,0.611,-0.544684970462464,1.74459521142449,0.9098,0.807
0.543,0.352,-0.710077301056513,1.86254349690627,0.1771,0.432
0.382,0.857,-0.136431971305133,1.587594143055,0.9981,0.654
0.41,0.859,-0.137213200093957,1.52015682934245,0.9975,0.623
0.858,0.999,-1.07230668126439,1.13382465709965,1,1
0.785,0.709,-0.203553247929242,2.4940370438738,0.9976,0.956666666666667
0.973,0.882,-0.734404201637889,0.889240821207292,0.9999,0.74
0.205,0.841,-0.738641733988842,1.18979295423671,0.0388,0.192
0.486,0.717,-0.404113717169729,1.00641276178514,0.9669,0.743333333333333
0.916,0.632,-0.621938082916343,1.28658902484216,0.9949,0.945
0.709,0.909,-0.402882632030243,1.32892728458448,0.9558,0.67
0.47,0.868,-0.0817330907370174,2.04183446342837,0.7214,0.675
0.984,0.947,-0.139500411406377,1.7321061904236,0.9637,0.8275
0.324,0.773,-0.810913045846879,1.02999574823582,0.9623,0.884
0.632,0.456,-0.91151559652275,1.19757938005227,0.8455,0.5
0.453,0.609,-0.6380154966752,0.994128870990579,0.88,0.83
0.978,0.999,-0.380115708394194,0.397045571715734,0.9991,0.885
0.364,0.637,0.209780045513333,1.36232526062174,0.8067,0.431
0.968,0.754,-0.318730093545456,1.28304923892306,0.9633,0.361
0.946,0.952,-0.261928453037519,1.89849012817929,0.0916,0.96
0.805,0.241,-0.606219498548648,1.12991066985307,0.018,0.0579420579420579
0.867,0.989,-0.211111382436402,1.28713050470786,0.9978,0.806666666666667
0.968,0.742,0.0782566798240265,0.661508001294287,0.8612,0.938333333333333
0.625,0.95,-0.233770359615838,0.47615543505468,0.947,0.733
0.726,0.695,-0.307830658008571,0.388703141389856,0.0132,0.6175
0.777,0.521,0.0428846421240854,0.719126348845095,0.9668,0.559
0.735,0.582,-0.0901356024964092,0.555555077572606,0.9345,0.704
0.725,0.447,-0.146024245198977,0.561264407337302,0.9986,0.908
0.803,0.65,-0.0093657336906877,0.506218766452452,0.7812,0.635
0.023,0.158,-0.0695420939498633,0.636774832387964,0.7121,0.0849150849150849
0.385,0.521,0.0673792856557172,0.883162847158656,0.9927,0.415
0.903,0.862,-0.0138547635081146,0.679690027826981,0.8003,0.575
0.433,0.314,-0.142982331207293,0.504436811400849,0.9966,0.244
0.486,0.66,-0.00494208677655004,0.504786855418707,0.9246,0.666666666666667
0.862,0.416,0.155245308089412,0.900454241371459,0.6929,0.495
0.872,0.983,-0.164044434631578,0.691799998935393,0.9859,0.908
0.959,0.277,-0.0423876369347938,0.72360242023111,0.8358,0.454
0.974,0.525,-0.0576360573367572,0.542290839822896,0.8394,0.852
0.677,0.618,-0.138097594219647,0.542035870054079,0.9988,0.856
0.633,1,0.0228927617150994,0.621508238381084,0.9999,0.995
0.139,0.787,0.00376211892921705,0.590527524582108,0.44,0.604
0.618,0.624,-0.171189619816173,0.583902219657757,0.9943,0.641
0.193,0.761,-0.162151093883153,0.514445157179822,0.8781,0.62
0.744,0.92,-0.125966440580139,0.419942851909496,0.2772,0.911666666666667
0.885,0.984,-0.181258569285043,0.638821667137331,0.558,0.602
0.959,0.937,-0.0892677947947801,0.600164230661503,0.9069,0.915
0.888,0.332,-0.0551196357341054,0.590716922571809,0.8519,0.234
0.903,0.678,-0.226675479667901,0.410063772405631,0.9587,0.29
0.504,0.703,-0.182183018790567,0.538508679543952,0.9957,0.487
0.069,0.791,-0.23058222048866,0.478368881906021,0.6384,0.163
0.999,0.514,-0.0103446036523577,0.697175588953375,0.9993,0.633
1,0.136,-0.035222223797066,0.575961471492198,0.7179,0.262
0.671,0.744,-0.261135540938787,0.452031419873818,0.9023,0.604
0.384,0.864,-0.117634473193866,0.483553836661675,0.9763,0.248888888888889
0.186,0.765,-0.210959641402833,0.404213044063438,0.9914,0.292857142857143
0.589,0.348,-0.093559894187577,0.482664752888473,0.9302,0.576666666666667
0.404,0.723,-0.153602152897397,0.625921864062311,0.96,0.178
0.318,0.34,-0.203062750498645,0.471851799482165,0.9986,0.323
0.158,0.144,-0.0984954868208151,0.686556416700777,0.4239,0.219
0.894,0.705,-0.11750904023062,0.41684604567331,0.3817,0.803333333333333
0.41,0.702,0.0284428945241423,0.69657369855372,0.9772,0.5725
0.585,0.979,-0.0808745226326871,0.522364768750177,0.9377,0.854
0.231,0.264,-0.209310494298248,0.360971546323685,0.9689,0.333
0.92,0.547,-0.304907463795799,0.338286261286733,0.9575,0.555
0.224,0.847,-0.0262139836455933,0.589594365696107,0.9869,0.79625
0.787,0.663,-0.0456721990616157,0.695458444518257,0.7125,0.698333333333333
0.241,0.545,-0.144070598379636,0.4586062731264,0.6806,0.302
0.26,0.77,-0.0863186911845835,0.569783682798082,0.3576,0.30875
0.897,0.899,0.021578835304996,0.514806582214834,0.7029,0.868
0.245,0.642,0.0837822404513969,0.804507541204199,0.9283,0.559
0.566,0.781,0.00768770948830039,0.757349899234253,0.5682,0.827
0.911,0.687,-0.210253044869142,0.389341083933715,0.976,0.836666666666667
0.075,0.429,-0.0339789705157399,0.342773854223882,0.8896,0.117
0.329,1,-0.121438871591424,0.289620927819739,0.8184,0.2
0.194,0.42,0.0117817675917504,0.372172600830893,0.7583,0.426
0.084,0.413,0.00948762879332134,0.385036522320178,0.9804,0.749
0.554,0.292,-0.0359775722439398,0.364491119446428,0.63,0.166
0.467,0.887,-0.0421933303128829,0.267933322963605,0.9907,0.63
0.687,0.853,0.0424412179745511,0.409242176716926,0.9544,0.75
1,0.017,-0.138889450380908,0.2071326496977,0.1341,0.022977022977023
0.396,0.319,-0.166876317860632,0.278647517088899,0.803,0.444
0.836,0.668,-0.118737609349855,0.235879650411362,0.6495,0.921
0.625,0.805,-0.0595521202094405,0.301161740436368,1,0.958
0.684,0.48,-0.129675823251639,0.286850326865184,0.9939,0.54
1,0.552,-0.288078432204393,0.16189810386621,0.9419,0.511
0.446,0.483,-0.164419778416917,0.175996449092197,0.5229,0.264
0.746,0.993,0.0709142838055806,0.4956238923345,0.9948,0.942
0.883,1,-0.196013753194882,0.211032002104373,0.2668,0.808
0.09,0.45,-0.0697179222595888,0.280669166911237,0.9903,0.45
0.567,0.689,-0.0735100017027673,0.264801633147892,0.9284,0.825
0.356,0.831,-0.0564608313742635,0.314694921103364,0.9635,0.612
0.427,0.937,-0.0781783374625897,0.281112180235575,0.3391,0.923
0.344,0.035,-0.232640968671786,0.182652617674109,0.4509,0.031968031968032
0.064,0.129,0.0419385781254215,0.421159346643576,0.9877,0.284
0.83,0.584,0.0143152459173776,0.447290460725444,0.2778,0.724
0.796,0.637,-0.0925409355209715,0.324894818801275,0.9997,0.424
0.916,0.911,-0.103836896632431,0.304177667891035,0.3717,0.788
0.657,0.834,-0.111069015231562,0.2770100521328,0.9777,0.593333333333333
1,0.235,-0.0108742108744218,0.358093124387646,0.8799,0.464
0.337,0.264,-0.0187739803414933,0.300742378450378,0.9902,0.497142857142857
0.961,0.656,-0.247834718464571,0.23781838075694,0.999,0.728
0.64,0.834,-0.0572963720594635,0.305656997098786,0.9997,0.121
0.064,0.164,-0.0515130138199259,0.295451236973179,0.7573,0.454
0.321,0.574,-0.0617567088261871,0.227819577786391,0.8709,0.82
0.063,0.483,-0.123671980313912,0.331443693668077,0.1683,0.264
0.443,0.589,0.055923822986791,0.432329208440656,0.9977,0.4875
0.595,0.487,-0.0675772991247746,0.352724204890246,0.8415,0.344
0.874,0.634,-0.0705391267477517,0.423020916138165,0.3371,0.617142857142857
1,0.492,-0.122631027802922,0.253159813122149,0.9998,0.801
0.601,0.494,-0.0865466315107553,0.271617753602783,0.9999,0.379
0.567,0.781,-0.0911186808175765,0.276771923878544,0.9956,0.541
0.921,0.869,0.0433874801646588,0.419201871241613,0.8395,0.97
0.206,0.384,0.0631725954934118,0.477771804816245,0.7924,0.658
0.001,0.015,-0.0587232212133834,0.309897704502273,0.0372,0.022977022977023
0.686,0.611,-0.116754826691872,0.265950598354837,0.9979,0.725
0.389,0.848,0.0233871556639088,0.356174208189698,0.7995,0.613333333333333
0.548,0.816,-0.103894536313754,0.280739022922092,0.1125,0.68
0.691,0.689,-0.00965113204163544,0.439538557877033,0.9998,0.84375
1,0.559,-0.0746606098300216,0.370545099571991,0.7967,0.239
0.985,0.375,-0.0895963798272632,0.334975852296386,0.082,0.3
0.096,0.715,-0.0433629655535643,0.318415935814831,0.3978,0.166
0.859,0.897,-0.245669281131366,0.150278913161129,0.6738,0.502
0.196,0.314,-0.0489463936054632,0.135698646480318,0.8708,0.576
0.279,0.951,-0.0862496881237522,0.137797028837161,1,0.97
0.142,0.572,-0.0445601258746413,0.179424474111052,0.7837,0.816
0.709,0.717,-0.135623384641292,0.0899989670997911,0.9345,0.132
0.795,0.162,-0.0617265732650547,0.152118389037464,0.4149,0.187
0.731,0.701,0.0843849052087144,0.355589629082122,0.0985,0.311
0.765,0.701,0.039336527288668,0.288595365304456,0.984,0.606
0.327,0.931,-0.0321686668046888,0.228308962744072,0.9957,0.305
1,0.085,-0.0590946481970017,0.157990792691067,0.4355,0.214
0.992,0.923,-0.0882279133015411,0.135741363403469,0.9239,0.801
0.921,0.744,-0.0266434584665979,0.205392694369139,0.193,0.658
0.755,0.559,0.00540626067290798,0.224431566639955,0.9363,0.596
0.971,0.253,-0.0774059051330269,0.100849924816984,0.4157,0.0909090909090909
0.993,0.704,-0.0202370478133466,0.16133613485148,0.9965,0.766
0.612,0.783,0.0893497571302437,0.377410430312086,0.975,0.876
0.324,0.407,-0.0228620622981518,0.206007421616336,0.6868,0.448
0.108,0.134,-0.048813044708477,0.213432120454514,0.98,0.226
0.701,0.884,0.00975774392384109,0.237174439697721,0.8789,0.898
0.124,0.778,-0.0536752857505792,0.178404874237867,0.9242,0.386
0.612,0.574,-0.0068283925738931,0.181274535919539,0.9975,0.74
0.642,0.691,-0.125320777193329,0.118386830915948,1,0.418
0.02,0.282,-0.0934357946395575,0.114865960506014,0.7624,0.1
0.961,0.791,-0.128146237321996,0.0904655963647265,0.6833,0.608
0.227,0.737,-0.0749717614424241,0.173664412899047,0.9921,0.233
0.915,0.743,0.0590493157709269,0.328873443535395,0.0612,0.401
0.654,0.473,-0.043330232837425,0.189037082100203,0.9765,0.277
1,0.617,-0.0431821567466198,0.158152749790635,0.7704,0.861
1,0.594,-0.125178236277871,0.0990933526030079,0.9154,0.66
0.953,0.489,-0.11730939119204,0.111252818186766,0.0443,0.298
0.768,0.704,-0.128703540254068,0.0916821048461672,0.2447,0.353
0.235,0.519,-0.112196813072698,0.0670101013151104,0.9381,0.541
0.985,0.454,-0.0518990316144233,0.179199406481863,0.2035,0.361
0.009,0.128,0.159092872648409,0.400400278306127,0.4804,0.041958041958042
0.945,0.563,-0.097136048147921,0.118248255702131,0.9976,0.598
0.889,0.479,-0.0666723944236448,0.169607184149778,0.9332,0.86
0.886,0.876,-0.0994443996612797,0.137216200737775,0.9975,0.783
0.148,0.825,0.0218201068196887,0.329075745257503,0.3221,0.385
0.46,0.73,-0.0791347020931706,0.17559772222763,0.9992,0.266
0.961,0.627,-0.134721771411109,0.111363426115149,0.9659,0.531
0.281,0.932,-0.0645808356564588,0.162248914322824,0.5732,0.842
