"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.324,0.328,-32.8939001650132,11.7806296403444,0.9598,0.281
0.245,0.304,-16.7101057501078,1.47605125839466,0.0206,0.219
0.961,0.878,-4.61210184412267,26.14399938629,0.000999900009999,0.873333333333333
0.778,0.662,-12.4600075362389,7.5286335770387,0.9675,0.511
0.776,0.742,-6.89191239730843,10.0340227337104,0.7946,0.95
0.046,0.034,8.32601202846909,57.9322810429401,0.2615,0.01998001998002
0.925,0.844,-30.5893964455677,-5.80672925236131,0.0174,0.786666666666667
0.217,0.853,-7.08005928590564,13.5894717429532,0.3636,0.373
0.365,0.61,-21.4039839371901,20.1711620821916,0.184,0.181
0.771,0.776,3.98334210159307,24.0832162002469,0.0063993600639936,0.86
0.328,0.386,-10.3529353585192,24.5825574217114,0.9673,0.491
0.394,0.835,-12.100500142767,24.2319148529195,0.7984,0.222
0.68,0.996,-18.5537645267649,2.21540915776337,0.3309,1
0.454,0.989,-9.92792289610312,2.26922098532574,0.2056,0.663333333333333
0.398,0.511,-21.1646176360309,8.74211955530693,0.5658,0.38
0.234,0.461,-26.7714608949826,27.5678140193397,0.7896,0.301
0.428,0.98,-17.8800544198671,24.1569106248062,0.7752,0.328
0.19,0.379,-10.411120829621,14.0328719025069,0.7383,0.216
0.629,0.551,-11.1064086497285,23.0277541836929,0.9985,0.63
0.072,0.285,-24.1388832558118,3.88929816048186,0.1842,0.353
0.365,0.27,-21.0390814416473,13.5696193138725,0.4432,0.284285714285714
0.402,0.939,-14.4272355251953,5.11813998551235,0.7487,0.436
0.049,0.031,1.27040026319649,27.9474959508698,0.0006999300069993,0.002997002997003
0.899,0.971,-8.29902937469695,19.7370839829489,0.6395,0.985
0.071,0.285,-19.6916201280082,22.7755652752094,0.9201,0.0999000999000999
0.892,0.864,-4.46693836154261,25.2431319171332,0.718,0.98
0.672,0.922,-21.8732780710033,0.626161250307292,0.0012998700129987,0.885
0.47,0.838,-43.8687074915204,19.4127914437249,0.0803,0.645
0.417,0.894,-14.8388416586377,11.0059548923721,0.8723,0.236
0.391,0.736,-15.6125198731286,19.8657555091582,0.8607,0.6225
0.956,0.94,-11.1086604434965,17.2675716206973,0.9153,0.767142857142857
0.919,0.92,-3.31821562275592,21.504650689475,0.0473,0.935
0.24,0.398,1.49431629437413,24.0137087328398,0.0272,0.2475
0.805,0.677,-6.97988823886593,11.1375982891197,0.9721,0.738
0.465,0.875,-28.8194480084611,11.8654341409575,0.0603,0.434
0.361,0.721,-6.80548788918905,10.9194680392336,0.997,0.82
0.215,0.417,-9.11479006215628,18.2586269656002,0.7785,0.37
0.921,0.623,-24.4993250894212,10.6955704032263,0.9203,0.726666666666667
0.311,0.9,-11.0562795609477,7.93343204147815,0.9998,0.6075
0.152,0.651,-34.7952945350544,4.63230849509726,0.0076992300769923,0.286
0.738,0.984,-9.19802397942418,23.513347405127,0.0301,0.76
0.402,0.406,-11.081008633496,23.1711035775738,0.3203,0.18
0.448,0.996,-12.4124683542574,9.30886029979773,0.4267,0.676666666666667
0.686,0.785,-30.2792728290607,6.92916159938557,0.8477,0.511
0.585,0.541,-16.6781190543008,22.169746908395,0.3786,0.487
0.988,0.954,-24.6925012025922,13.4108219843122,0.9974,0.922
0.317,0.478,-7.67479970048595,17.176944890797,0.8783,0.30625
0.062,0.03,-1.88720740876625,21.138543022525,0.0030996900309969,0.012987012987013
0.5,0.53,-3.32850704596534,16.1572902060902,0.9905,0.685
0.575,0.598,-26.2296652004636,22.2101270790326,0.6504,0.211
0.17,0.256,-12.8971150311874,5.93917230380205,0.0232,0.045954045954046
0.813,0.531,-22.1391582724344,-2.9078767486547,0.0003999600039996,0.448
0.23,0.535,-8.90583827650734,4.26340372617006,0.9816,0.386666666666667
0.238,0.489,-5.63884501267255,17.305952662152,0.9786,0.386
0.576,0.914,-9.4003381721569,4.16458168912351,0.7569,0.67
0.193,0.088,-22.3908126085709,-1.50670820117959,0.0004999500049995,0.00699300699300699
0.046,0.234,-11.0973864470624,5.05030867012122,0.7239,0.298
0.08,0.07,-8.14524004412856,3.57946909331806,0.3058,0.0959040959040959
0.984,0.865,-6.02124103700728,5.61589088137559,0.6297,0.988
0.36,0.605,-5.41584458177848,10.8732675284173,0.8007,0.305
0.468,0.82,-3.37972734348561,18.7490304107821,0.0366,0.263
0.201,0.135,-12.3951032250714,15.1324340263781,0.6036,0.13
0.002,0.147,-6.84599688310589,21.6970141209765,0.6134,0.000999000999000999
0.697,0.974,-0.850643878767227,16.6164211431592,0.0012998700129987,0.823333333333333
0.631,0.661,-16.0125525185346,13.4619944731955,0.9915,0.351
0.955,0.925,-3.55636868699634,10.9353766612451,0.8386,0.836
0.649,0.878,5.79950050198144,23.8308182161266,0.0085991400859914,0.718
0.848,0.897,-15.2499364905692,7.45634907068172,0.7957,0.744
0.003,0.131,-28.5187825625198,4.51872293661891,0.5605,0.001998001998002
0.815,0.568,-17.3036513494903,4.68776634051743,0.9379,0.701
0.207,0.43,-6.24590157385553,4.4357699679021,1,0.33
0.334,0.818,-4.07349057665898,10.2800920431974,0.7818,0.3425
0.244,0.489,0.835961826518297,17.1387937309903,0.0456,0.44
0.082,0.067,-8.29097650642351,3.7357444620605,0.3058,0.0959040959040959
0.984,0.865,-6.02124103700728,5.61589088137559,0.6297,0.988
0.36,0.605,-5.41584458177848,10.8732675284173,0.8007,0.305
0.468,0.82,-3.37972734348561,18.7490304107821,0.0366,0.263
0.201,0.135,-12.3951032250714,15.1324340263781,0.6036,0.13
0.002,0.147,-6.84599688310589,21.6970141209765,0.6134,0.000999000999000999
0.697,0.974,-0.850643878767227,16.6164211431592,0.0012998700129987,0.823333333333333
0.631,0.661,-16.0125525185346,13.4619944731955,0.9915,0.351
0.955,0.925,-3.55636868699634,10.9353766612451,0.8386,0.836
0.649,0.878,5.79950050198144,23.8308182161266,0.0085991400859914,0.718
0.848,0.897,-15.2499364905692,7.45634907068172,0.7957,0.744
0.003,0.131,-28.5187825625198,4.51872293661891,0.5605,0.001998001998002
0.815,0.568,-17.3036513494903,4.68776634051743,0.9379,0.701
0.207,0.43,-6.24590157385553,4.4357699679021,1,0.33
0.334,0.818,-4.07349057665898,10.2800920431974,0.7818,0.3425
0.244,0.489,0.835961826518297,17.1387937309903,0.0456,0.44
0.082,0.067,-8.29097650642351,3.7357444620605,0.3058,0.0959040959040959
0.984,0.865,-6.02124103700728,5.61589088137559,0.6297,0.988
0.36,0.605,-5.41584458177848,10.8732675284173,0.8007,0.305
0.468,0.82,-3.37972734348561,18.7490304107821,0.0366,0.263
0.201,0.135,-12.3951032250714,15.1324340263781,0.6036,0.13
0.002,0.147,-6.84599688310589,21.6970141209765,0.6134,0.000999000999000999
0.697,0.974,-0.850643878767227,16.6164211431592,0.0012998700129987,0.823333333333333
0.631,0.661,-16.0125525185346,13.4619944731955,0.9915,0.351
0.955,0.925,-3.55636868699634,10.9353766612451,0.8386,0.836
0.649,0.878,5.79950050198144,23.8308182161266,0.0085991400859914,0.718
0.848,0.897,-15.2499364905692,7.45634907068172,0.7957,0.744
0.1,0.039,0.813916908965686,21.9054363840193,0.2826,0.030969030969031
0.366,0.243,-2.38894819531158,8.68573406682342,0.249,0.236
0.026,0.039,-0.605272346274549,7.28573765421756,0.0023997600239976,0.013986013986014
0.841,0.91,-0.030934863931761,10.9037542025462,0.9932,0.643
0.06,0.227,-3.76726744245431,18.6831748669752,0.1151,0.031968031968032
0.704,0.736,-8.18149221140889,10.168736648024,0.5849,0.322
0.056,0.085,-1.17832284529394,12.88787935909,0.6137,0.041958041958042
0.321,0.224,-8.61159866597569,10.6144664532151,0.5599,0.28
0.215,0.475,-6.93382409820255,8.02878174055351,0.9406,0.357
0.648,0.815,-7.79184864302804,2.89517887440669,0.407,0.81
0.904,0.967,-0.88572209709897,9.6087890429362,0.8263,0.783333333333333
0.069,0.931,-5.54459127291472,8.51070239221944,0.8096,0.44
0.184,0.173,-1.45982063596962,16.7518125333577,0.0287,0.021978021978022
0.581,0.999,-2.86170258320734,8.86283520973347,0.9885,0.756666666666667
0.418,0.687,-0.12481378241161,6.86515794205847,0.0088991100889911,0.528333333333333
0.251,0.852,-2.74303379796954,7.11321544853737,0.0031996800319968,0.257
0.09,0.365,-3.25728407594204,8.43773751245181,0.1791,0.0879120879120879
0.359,0.916,-5.58298560118521,9.79268754413195,0.8773,0.177
0.002,0.039,-16.5159063438312,9.48982389912271,0.0415,0.000999000999000999
0.105,0.064,-4.94851308753743,4.51213864315919,0.011,0.0919080919080919
0.076,0.844,-2.46640555740387,6.15917396988175,0.9852,0.22
0.07,0.327,-6.13188938331012,6.86948828742505,0.8463,0.015984015984016
0.259,0.908,0.307747879663485,9.96064343218319,0.0065993400659934,0.615
0.463,0.381,-16.7768429446523,-1.50967646735675,0.0002999700029997,0.328
0.562,0.782,-7.99252552374481,5.42153862501732,0.9704,0.29
0.144,0.116,-14.9047976735028,-0.098334541477687,0.0003999600039996,0.147
0.002,0.071,-10.5970315787776,-1.51383818552545,0.0046995300469953,0.051948051948052
