"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"hima",126,0,1,4,0,0,0
"microbvs",126,4,10,0,0.285714285714286,1,0.444444444444444
"medzim",126,0,2,4,0,0,0
"npem",126,0,0,4,0,0,0
"ccmm",127,0,1,4,0,0,0
"ldm",127,0,1,4,0,0,0
"hima",127,0,0,4,0,0,0
"microbvs",127,1,9,3,0.1,0.25,0.142857142857143
"medzim",127,0,3,4,0,0,0
"npem",127,0,0,4,0,0,0
"ccmm",128,0,1,4,0,0,0
"ldm",128,0,0,4,0,0,0
"hima",128,0,0,4,0,0,0
"microbvs",128,1,3,3,0.25,0.25,0.25
"medzim",128,1,0,3,1,0.25,0.4
"npem",128,0,0,4,0,0,0
"ccmm",129,1,0,3,1,0.25,0.4
"ldm",129,2,1,2,0.666666666666667,0.5,0.571428571428572
"hima",129,0,0,4,0,0,0
"microbvs",129,0,4,4,0,0,0
"medzim",129,3,0,1,1,0.75,0.857142857142857
"npem",129,0,0,4,0,0,0
"ccmm",130,2,2,2,0.5,0.5,0.5
"ldm",130,3,6,1,0.333333333333333,0.75,0.461538461538462
"hima",130,2,1,2,0.666666666666667,0.5,0.571428571428572
"microbvs",130,0,6,4,0,0,0
"medzim",130,2,2,2,0.5,0.5,0.5
"npem",130,0,0,4,0,0,0
"ccmm",131,0,2,4,0,0,0
"ldm",131,0,0,4,0,0,0
"hima",131,0,0,4,0,0,0
"microbvs",131,1,5,3,0.166666666666667,0.25,0.2
"medzim",131,0,0,4,0,0,0
"npem",131,0,0,4,0,0,0
"ccmm",132,0,0,4,0,0,0
"ldm",132,0,0,4,0,0,0
"microbvs",132,3,14,1,0.176470588235294,0.75,0.285714285714286
"medzim",132,0,0,4,0,0,0
"npem",132,0,0,4,0,0,0
"ccmm",133,1,3,3,0.25,0.25,0.25
"ldm",133,0,1,4,0,0,0
"hima",133,0,0,4,0,0,0
"microbvs",133,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",133,0,1,4,0,0,0
"npem",133,0,0,4,0,0,0
"ccmm",134,0,2,4,0,0,0
"ldm",134,1,0,3,1,0.25,0.4
"microbvs",134,0,4,4,0,0,0
"medzim",134,0,2,4,0,0,0
"npem",134,0,0,4,0,0,0
"ccmm",135,2,0,2,1,0.5,0.666666666666667
"ldm",135,1,0,3,1,0.25,0.4
"microbvs",135,0,4,4,0,0,0
"medzim",135,1,0,3,1,0.25,0.4
"npem",135,0,0,4,0,0,0
"ccmm",136,1,1,3,0.5,0.25,0.333333333333333
"ldm",136,1,0,3,1,0.25,0.4
"hima",136,0,0,4,0,0,0
"microbvs",136,1,3,3,0.25,0.25,0.25
"medzim",136,1,1,3,0.5,0.25,0.333333333333333
"npem",136,0,0,4,0,0,0
"ccmm",137,2,4,2,0.333333333333333,0.5,0.4
"ldm",137,0,0,4,0,0,0
"hima",137,0,0,4,0,0,0
"microbvs",137,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",137,0,0,4,0,0,0
"npem",137,0,0,4,0,0,0
"ccmm",138,1,1,3,0.5,0.25,0.333333333333333
"ldm",138,1,1,3,0.5,0.25,0.333333333333333
"hima",138,0,0,4,0,0,0
"microbvs",138,0,5,4,0,0,0
"medzim",138,1,2,3,0.333333333333333,0.25,0.285714285714286
"npem",138,0,0,4,0,0,0
"ccmm",139,0,0,4,0,0,0
"ldm",139,1,0,3,1,0.25,0.4
"microbvs",139,1,3,3,0.25,0.25,0.25
"medzim",139,0,0,4,0,0,0
"npem",139,0,0,4,0,0,0
"ccmm",140,0,3,4,0,0,0
"ldm",140,0,0,4,0,0,0
"microbvs",140,4,12,0,0.25,1,0.4
"medzim",140,0,0,4,0,0,0
"npem",140,0,0,4,0,0,0
"ccmm",141,0,0,4,0,0,0
"ldm",141,0,0,4,0,0,0
"microbvs",141,2,8,2,0.2,0.5,0.285714285714286
"medzim",141,1,1,3,0.5,0.25,0.333333333333333
"npem",141,0,0,4,0,0,0
"ccmm",142,2,0,2,1,0.5,0.666666666666667
"ldm",142,3,5,1,0.375,0.75,0.5
"hima",142,0,0,4,0,0,0
"microbvs",142,3,5,1,0.375,0.75,0.5
"medzim",142,0,1,4,0,0,0
"npem",142,0,0,4,0,0,0
"ccmm",143,0,3,4,0,0,0
"ldm",143,1,0,3,1,0.25,0.4
"hima",143,0,0,4,0,0,0
"microbvs",143,0,8,4,0,0,0
"medzim",143,2,0,2,1,0.5,0.666666666666667
"npem",143,0,0,4,0,0,0
"ccmm",144,1,1,3,0.5,0.25,0.333333333333333
"ldm",144,0,0,4,0,0,0
"hima",144,0,0,4,0,0,0
"microbvs",144,0,4,4,0,0,0
"medzim",144,0,1,4,0,0,0
"npem",144,0,0,4,0,0,0
"ccmm",145,0,1,4,0,0,0
"ldm",145,2,0,2,1,0.5,0.666666666666667
"hima",145,0,0,4,0,0,0
"microbvs",145,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",145,3,0,1,1,0.75,0.857142857142857
"npem",145,0,0,4,0,0,0
"ccmm",146,1,0,3,1,0.25,0.4
"ldm",146,0,0,4,0,0,0
"hima",146,0,0,4,0,0,0
"microbvs",146,1,3,3,0.25,0.25,0.25
"medzim",146,0,0,4,0,0,0
"npem",146,0,0,4,0,0,0
"ccmm",147,1,1,3,0.5,0.25,0.333333333333333
"ldm",147,0,0,4,0,0,0
"hima",147,0,0,4,0,0,0
"microbvs",147,0,4,4,0,0,0
"medzim",147,0,0,4,0,0,0
"npem",147,0,0,4,0,0,0
"ccmm",148,1,0,3,1,0.25,0.4
"ldm",148,0,0,4,0,0,0
"hima",148,0,0,4,0,0,0
"microbvs",148,0,4,4,0,0,0
"medzim",148,0,0,4,0,0,0
"npem",148,0,0,4,0,0,0
"ccmm",149,0,1,4,0,0,0
"ldm",149,0,1,4,0,0,0
"hima",149,0,0,4,0,0,0
"microbvs",149,3,8,1,0.272727272727273,0.75,0.4
"medzim",149,0,1,4,0,0,0
"npem",149,0,0,4,0,0,0
"ccmm",150,0,3,4,0,0,0
"ldm",150,0,0,4,0,0,0
"microbvs",150,0,4,4,0,0,0
"medzim",150,1,0,3,1,0.25,0.4
"npem",150,0,0,4,0,0,0
"ccmm",151,1,1,3,0.5,0.25,0.333333333333333
"ldm",151,1,0,3,1,0.25,0.4
"microbvs",151,2,7,2,0.222222222222222,0.5,0.307692307692308
"medzim",151,1,0,3,1,0.25,0.4
"npem",151,0,0,4,0,0,0
"ccmm",152,2,5,2,0.285714285714286,0.5,0.363636363636364
"ldm",152,0,1,4,0,0,0
"hima",152,0,0,4,0,0,0
"microbvs",152,0,5,4,0,0,0
"medzim",152,0,1,4,0,0,0
"npem",152,0,0,4,0,0,0
"ccmm",153,1,3,3,0.25,0.25,0.25
"ldm",153,0,0,4,0,0,0
"hima",153,0,0,4,0,0,0
"microbvs",153,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",153,2,0,2,1,0.5,0.666666666666667
"npem",153,0,0,4,0,0,0
"ccmm",154,1,0,3,1,0.25,0.4
"ldm",154,1,0,3,1,0.25,0.4
"hima",154,0,0,4,0,0,0
"microbvs",154,0,0,4,0,0,0
"medzim",154,1,0,3,1,0.25,0.4
"npem",154,0,0,4,0,0,0
"ccmm",155,0,0,4,0,0,0
"ldm",155,0,1,4,0,0,0
"hima",155,0,0,4,0,0,0
"microbvs",155,0,5,4,0,0,0
"medzim",155,0,0,4,0,0,0
"npem",155,0,0,4,0,0,0
"ccmm",156,0,0,4,0,0,0
"ldm",156,0,1,4,0,0,0
"microbvs",156,0,7,4,0,0,0
"medzim",156,0,3,4,0,0,0
"npem",156,0,0,4,0,0,0
"ccmm",157,0,2,4,0,0,0
"ldm",157,0,0,4,0,0,0
"microbvs",157,0,1,4,0,0,0
"medzim",157,0,1,4,0,0,0
"npem",157,0,0,4,0,0,0
"ccmm",158,1,0,3,1,0.25,0.4
"ldm",158,0,3,4,0,0,0
"hima",158,0,0,4,0,0,0
"microbvs",158,1,3,3,0.25,0.25,0.25
"medzim",158,0,2,4,0,0,0
"npem",158,0,0,4,0,0,0
"ccmm",159,0,0,4,0,0,0
"ldm",159,2,0,2,1,0.5,0.666666666666667
"microbvs",159,2,2,2,0.5,0.5,0.5
"medzim",159,0,0,4,0,0,0
"npem",159,0,0,4,0,0,0
"ccmm",160,0,1,4,0,0,0
"ldm",160,0,2,4,0,0,0
"microbvs",160,0,4,4,0,0,0
"medzim",160,0,2,4,0,0,0
"npem",160,0,0,4,0,0,0
"ccmm",161,1,1,3,0.5,0.25,0.333333333333333
"ldm",161,1,0,3,1,0.25,0.4
"hima",161,0,0,4,0,0,0
"microbvs",161,0,4,4,0,0,0
"medzim",161,1,0,3,1,0.25,0.4
"npem",161,0,0,4,0,0,0
"ccmm",162,0,3,4,0,0,0
"ldm",162,0,1,4,0,0,0
"hima",162,0,0,4,0,0,0
"microbvs",162,2,11,2,0.153846153846154,0.5,0.235294117647059
"medzim",162,1,2,3,0.333333333333333,0.25,0.285714285714286
"npem",162,0,0,4,0,0,0
"ccmm",163,0,0,4,0,0,0
"ldm",163,0,0,4,0,0,0
"hima",163,0,0,4,0,0,0
"microbvs",163,4,15,0,0.210526315789474,1,0.347826086956522
"medzim",163,0,0,4,0,0,0
"npem",163,0,0,4,0,0,0
"ccmm",164,0,0,4,0,0,0
"ldm",164,1,0,3,1,0.25,0.4
"microbvs",164,1,3,3,0.25,0.25,0.25
"medzim",164,1,0,3,1,0.25,0.4
"npem",164,0,0,4,0,0,0
"ccmm",165,2,2,2,0.5,0.5,0.5
"ldm",165,1,0,3,1,0.25,0.4
"microbvs",165,1,3,3,0.25,0.25,0.25
"medzim",165,0,0,4,0,0,0
"npem",165,0,0,4,0,0,0
"ccmm",166,0,5,4,0,0,0
"ldm",166,0,1,4,0,0,0
"hima",166,0,0,4,0,0,0
"microbvs",166,4,15,0,0.210526315789474,1,0.347826086956522
"medzim",166,0,0,4,0,0,0
"npem",166,0,0,4,0,0,0
"ccmm",167,1,1,3,0.5,0.25,0.333333333333333
"ldm",167,0,0,4,0,0,0
"hima",167,0,0,4,0,0,0
"microbvs",167,3,13,1,0.1875,0.75,0.3
"medzim",167,1,0,3,1,0.25,0.4
"npem",167,0,0,4,0,0,0
"ccmm",168,0,2,4,0,0,0
"ldm",168,0,0,4,0,0,0
"hima",168,0,0,4,0,0,0
"microbvs",168,0,4,4,0,0,0
"medzim",168,0,0,4,0,0,0
"npem",168,0,0,4,0,0,0
"ccmm",169,0,0,4,0,0,0
"ldm",169,0,1,4,0,0,0
"hima",169,0,0,4,0,0,0
"microbvs",169,4,16,0,0.2,1,0.333333333333333
"medzim",169,0,0,4,0,0,0
"npem",169,0,0,4,0,0,0
"ccmm",170,0,1,4,0,0,0
"ldm",170,0,0,4,0,0,0
"microbvs",170,1,0,3,1,0.25,0.4
"medzim",170,0,0,4,0,0,0
"npem",170,0,0,4,0,0,0
"ccmm",171,0,1,4,0,0,0
"ldm",171,0,1,4,0,0,0
"hima",171,0,0,4,0,0,0
"microbvs",171,2,2,2,0.5,0.5,0.5
"medzim",171,0,1,4,0,0,0
"npem",171,0,0,4,0,0,0
"ccmm",172,0,0,4,0,0,0
"ldm",172,0,0,4,0,0,0
"hima",172,0,0,4,0,0,0
"microbvs",172,3,6,1,0.333333333333333,0.75,0.461538461538462
"medzim",172,1,1,3,0.5,0.25,0.333333333333333
"npem",172,0,0,4,0,0,0
"ccmm",173,0,1,4,0,0,0
"ldm",173,0,2,4,0,0,0
"microbvs",173,0,4,4,0,0,0
"medzim",173,0,1,4,0,0,0
"npem",173,0,0,4,0,0,0
"ccmm",174,0,1,4,0,0,0
"ldm",174,0,0,4,0,0,0
"hima",174,0,0,4,0,0,0
"microbvs",174,3,7,1,0.3,0.75,0.428571428571428
"medzim",174,2,1,2,0.666666666666667,0.5,0.571428571428572
"npem",174,0,0,4,0,0,0
"ccmm",175,0,1,4,0,0,0
"ldm",175,0,1,4,0,0,0
"hima",175,0,0,4,0,0,0
"microbvs",175,1,3,3,0.25,0.25,0.25
"medzim",175,0,1,4,0,0,0
"npem",175,0,0,4,0,0,0
"ccmm",176,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",176,1,0,3,1,0.25,0.4
"hima",176,0,0,4,0,0,0
"microbvs",176,0,11,4,0,0,0
"medzim",176,1,0,3,1,0.25,0.4
"npem",176,0,0,4,0,0,0
"ccmm",177,3,2,1,0.6,0.75,0.666666666666667
"ldm",177,1,0,3,1,0.25,0.4
"hima",177,0,0,4,0,0,0
"microbvs",177,1,3,3,0.25,0.25,0.25
"medzim",177,0,0,4,0,0,0
"npem",177,0,0,4,0,0,0
"ccmm",178,0,0,4,0,0,0
"ldm",178,0,1,4,0,0,0
"hima",178,0,0,4,0,0,0
"microbvs",178,3,13,1,0.1875,0.75,0.3
"medzim",178,0,1,4,0,0,0
"npem",178,0,0,4,0,0,0
"ccmm",179,0,5,4,0,0,0
"ldm",179,0,1,4,0,0,0
"hima",179,0,0,4,0,0,0
"microbvs",179,1,3,3,0.25,0.25,0.25
"medzim",179,0,0,4,0,0,0
"npem",179,0,0,4,0,0,0
"ccmm",180,1,1,3,0.5,0.25,0.333333333333333
"ldm",180,0,0,4,0,0,0
"hima",180,0,0,4,0,0,0
"microbvs",180,1,4,3,0.2,0.25,0.222222222222222
"medzim",180,1,0,3,1,0.25,0.4
"npem",180,0,0,4,0,0,0
"ccmm",181,0,2,4,0,0,0
"ldm",181,0,0,4,0,0,0
"hima",181,0,0,4,0,0,0
"microbvs",181,0,4,4,0,0,0
"medzim",181,0,0,4,0,0,0
"npem",181,0,0,4,0,0,0
"ccmm",182,0,0,4,0,0,0
"ldm",182,0,1,4,0,0,0
"hima",182,0,0,4,0,0,0
"microbvs",182,4,16,0,0.2,1,0.333333333333333
"medzim",182,0,1,4,0,0,0
"npem",182,0,0,4,0,0,0
"ccmm",183,0,1,4,0,0,0
"ldm",183,0,0,4,0,0,0
"microbvs",183,2,8,2,0.2,0.5,0.285714285714286
"medzim",183,0,0,4,0,0,0
"npem",183,0,0,4,0,0,0
"ccmm",184,0,1,4,0,0,0
"ldm",184,0,1,4,0,0,0
"hima",184,0,0,4,0,0,0
"microbvs",184,2,4,2,0.333333333333333,0.5,0.4
"medzim",184,0,1,4,0,0,0
"npem",184,0,0,4,0,0,0
"ccmm",185,0,0,4,0,0,0
"ldm",185,0,0,4,0,0,0
"hima",185,0,0,4,0,0,0
"microbvs",185,2,2,2,0.5,0.5,0.5
"medzim",185,1,1,3,0.5,0.25,0.333333333333333
"npem",185,0,0,4,0,0,0
"ccmm",186,0,1,4,0,0,0
"ldm",186,0,2,4,0,0,0
"microbvs",186,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",186,0,1,4,0,0,0
"npem",186,0,0,4,0,0,0
"ccmm",187,0,1,4,0,0,0
"ldm",187,0,0,4,0,0,0
"hima",187,0,0,4,0,0,0
"microbvs",187,0,4,4,0,0,0
"medzim",187,2,1,2,0.666666666666667,0.5,0.571428571428572
"npem",187,0,0,4,0,0,0
"ccmm",188,0,1,4,0,0,0
"ldm",188,0,1,4,0,0,0
"hima",188,0,0,4,0,0,0
"microbvs",188,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",188,0,1,4,0,0,0
"npem",188,0,0,4,0,0,0
"ccmm",189,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",189,1,0,3,1,0.25,0.4
"hima",189,0,0,4,0,0,0
"microbvs",189,0,4,4,0,0,0
"medzim",189,1,0,3,1,0.25,0.4
"npem",189,0,0,4,0,0,0
"ccmm",190,3,2,1,0.6,0.75,0.666666666666667
"ldm",190,1,0,3,1,0.25,0.4
"hima",190,0,0,4,0,0,0
"microbvs",190,1,3,3,0.25,0.25,0.25
"medzim",190,0,0,4,0,0,0
"npem",190,0,0,4,0,0,0
"ccmm",191,0,0,4,0,0,0
"ldm",191,0,1,4,0,0,0
"hima",191,0,0,4,0,0,0
"microbvs",191,3,9,1,0.25,0.75,0.375
"medzim",191,0,1,4,0,0,0
"npem",191,0,0,4,0,0,0
"ccmm",192,0,5,4,0,0,0
"ldm",192,0,1,4,0,0,0
"hima",192,0,0,4,0,0,0
"microbvs",192,1,3,3,0.25,0.25,0.25
"medzim",192,0,0,4,0,0,0
"npem",192,0,0,4,0,0,0
"ccmm",193,1,1,3,0.5,0.25,0.333333333333333
"ldm",193,0,0,4,0,0,0
"hima",193,0,0,4,0,0,0
"microbvs",193,1,3,3,0.25,0.25,0.25
"medzim",193,1,0,3,1,0.25,0.4
"npem",193,0,0,4,0,0,0
"ccmm",194,0,2,4,0,0,0
"ldm",194,0,0,4,0,0,0
"hima",194,0,0,4,0,0,0
"microbvs",194,2,8,2,0.2,0.5,0.285714285714286
"medzim",194,0,0,4,0,0,0
"npem",194,0,0,4,0,0,0
"ccmm",195,0,0,4,0,0,0
"ldm",195,0,1,4,0,0,0
"hima",195,0,0,4,0,0,0
"microbvs",195,4,16,0,0.2,1,0.333333333333333
"medzim",195,0,0,4,0,0,0
"npem",195,0,0,4,0,0,0
"ccmm",196,0,1,4,0,0,0
"ldm",196,0,0,4,0,0,0
"microbvs",196,1,3,3,0.25,0.25,0.25
"medzim",196,0,0,4,0,0,0
"npem",196,0,0,4,0,0,0
"ccmm",197,0,1,4,0,0,0
"ldm",197,0,1,4,0,0,0
"hima",197,0,0,4,0,0,0
"microbvs",197,3,2,1,0.6,0.75,0.666666666666667
"medzim",197,0,1,4,0,0,0
"npem",197,0,0,4,0,0,0
"ccmm",198,0,0,4,0,0,0
"ldm",198,0,0,4,0,0,0
"hima",198,0,0,4,0,0,0
"microbvs",198,2,2,2,0.5,0.5,0.5
"medzim",198,1,1,3,0.5,0.25,0.333333333333333
"npem",198,0,0,4,0,0,0
"ccmm",199,0,1,4,0,0,0
"ldm",199,0,2,4,0,0,0
"microbvs",199,0,4,4,0,0,0
"medzim",199,0,1,4,0,0,0
"npem",199,0,0,4,0,0,0
"ccmm",200,0,1,4,0,0,0
"ldm",200,0,0,4,0,0,0
"hima",200,0,0,4,0,0,0
"microbvs",200,0,4,4,0,0,0
"medzim",200,2,1,2,0.666666666666667,0.5,0.571428571428572
"npem",200,0,0,4,0,0,0
"ccmm",201,0,1,4,0,0,0
"ldm",201,0,2,4,0,0,0
"microbvs",201,2,6,2,0.25,0.5,0.333333333333333
"medzim",201,0,1,4,0,0,0
"npem",201,0,0,4,0,0,0
"ccmm",202,0,0,4,0,0,0
"ldm",202,0,2,4,0,0,0
"microbvs",202,1,3,3,0.25,0.25,0.25
"medzim",202,0,1,4,0,0,0
"npem",202,0,0,4,0,0,0
"ccmm",203,0,4,4,0,0,0
"ldm",203,1,3,3,0.25,0.25,0.25
"hima",203,0,1,4,0,0,0
"microbvs",203,2,14,2,0.125,0.5,0.2
"medzim",203,2,8,2,0.2,0.5,0.285714285714286
"npem",203,0,0,4,0,0,0
"ccmm",204,0,1,4,0,0,0
"ldm",204,0,1,4,0,0,0
"microbvs",204,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",204,0,1,4,0,0,0
"npem",204,0,0,4,0,0,0
"ccmm",205,0,0,4,0,0,0
"ldm",205,1,2,3,0.333333333333333,0.25,0.285714285714286
"hima",205,0,0,4,0,0,0
"microbvs",205,3,8,1,0.272727272727273,0.75,0.4
"medzim",205,0,2,4,0,0,0
"npem",205,0,0,4,0,0,0
"ccmm",206,0,0,4,0,0,0
"ldm",206,1,1,3,0.5,0.25,0.333333333333333
"hima",206,1,0,3,1,0.25,0.4
"microbvs",206,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",206,0,2,4,0,0,0
"npem",206,0,0,4,0,0,0
"ccmm",207,1,0,3,1,0.25,0.4
"ldm",207,0,4,4,0,0,0
"hima",207,0,0,4,0,0,0
"microbvs",207,4,13,0,0.235294117647059,1,0.380952380952381
"medzim",207,0,1,4,0,0,0
"npem",207,0,0,4,0,0,0
"ccmm",208,0,2,4,0,0,0
"ldm",208,0,1,4,0,0,0
"hima",208,0,0,4,0,0,0
"microbvs",208,0,4,4,0,0,0
"medzim",208,1,4,3,0.2,0.25,0.222222222222222
"npem",208,0,0,4,0,0,0
"ccmm",209,0,1,4,0,0,0
"ldm",209,0,1,4,0,0,0
"microbvs",209,4,13,0,0.235294117647059,1,0.380952380952381
"medzim",209,0,1,4,0,0,0
"npem",209,0,0,4,0,0,0
"ccmm",210,0,0,4,0,0,0
"ldm",210,0,1,4,0,0,0
"hima",210,0,0,4,0,0,0
"microbvs",210,3,7,1,0.3,0.75,0.428571428571428
"medzim",210,0,0,4,0,0,0
"npem",210,0,0,4,0,0,0
"ccmm",211,0,0,4,0,0,0
"ldm",211,0,1,4,0,0,0
"hima",211,0,0,4,0,0,0
"microbvs",211,1,3,3,0.25,0.25,0.25
"medzim",211,0,0,4,0,0,0
"npem",211,0,0,4,0,0,0
"ccmm",212,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",212,3,0,1,1,0.75,0.857142857142857
"hima",212,0,0,4,0,0,0
"microbvs",212,0,4,4,0,0,0
"medzim",212,0,0,4,0,0,0
"npem",212,0,0,4,0,0,0
"ccmm",213,2,1,2,0.666666666666667,0.5,0.571428571428572
"ldm",213,0,1,4,0,0,0
"hima",213,0,1,4,0,0,0
"microbvs",213,0,4,4,0,0,0
"medzim",213,0,0,4,0,0,0
"npem",213,0,0,4,0,0,0
"ccmm",214,1,5,3,0.166666666666667,0.25,0.2
"ldm",214,0,3,4,0,0,0
"hima",214,0,0,4,0,0,0
"microbvs",214,1,3,3,0.25,0.25,0.25
"medzim",214,0,1,4,0,0,0
"npem",214,0,0,4,0,0,0
"ccmm",215,0,0,4,0,0,0
"ldm",215,0,0,4,0,0,0
"microbvs",215,1,5,3,0.166666666666667,0.25,0.2
"medzim",215,0,1,4,0,0,0
"npem",215,0,0,4,0,0,0
"ccmm",216,0,2,4,0,0,0
"ldm",216,0,5,4,0,0,0
"hima",216,0,0,4,0,0,0
"microbvs",216,1,3,3,0.25,0.25,0.25
"medzim",216,0,4,4,0,0,0
"npem",216,0,0,4,0,0,0
"ccmm",217,0,1,4,0,0,0
"ldm",217,1,4,3,0.2,0.25,0.222222222222222
"hima",217,1,0,3,1,0.25,0.4
"microbvs",217,1,3,3,0.25,0.25,0.25
"medzim",217,2,4,2,0.333333333333333,0.5,0.4
"npem",217,0,0,4,0,0,0
"ccmm",218,1,1,3,0.5,0.25,0.333333333333333
"ldm",218,2,0,2,1,0.5,0.666666666666667
"hima",218,1,0,3,1,0.25,0.4
"microbvs",218,1,3,3,0.25,0.25,0.25
"medzim",218,2,2,2,0.5,0.5,0.5
"npem",218,0,0,4,0,0,0
"ccmm",219,1,3,3,0.25,0.25,0.25
"ldm",219,0,0,4,0,0,0
"hima",219,1,0,3,1,0.25,0.4
"microbvs",219,2,7,2,0.222222222222222,0.5,0.307692307692308
"medzim",219,0,0,4,0,0,0
"npem",219,0,0,4,0,0,0
"ccmm",220,1,0,3,1,0.25,0.4
"ldm",220,0,0,4,0,0,0
"hima",220,0,0,4,0,0,0
"microbvs",220,1,6,3,0.142857142857143,0.25,0.181818181818182
"medzim",220,1,0,3,1,0.25,0.4
"npem",220,0,0,4,0,0,0
"ccmm",221,0,1,4,0,0,0
"ldm",221,0,1,4,0,0,0
"microbvs",221,3,7,1,0.3,0.75,0.428571428571428
"medzim",221,0,1,4,0,0,0
"npem",221,0,0,4,0,0,0
"ccmm",222,0,1,4,0,0,0
"ldm",222,0,1,4,0,0,0
"microbvs",222,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",222,0,1,4,0,0,0
"npem",222,0,0,4,0,0,0
"ccmm",223,1,0,3,1,0.25,0.4
"ldm",223,0,2,4,0,0,0
"hima",223,0,0,4,0,0,0
"microbvs",223,2,6,2,0.25,0.5,0.333333333333333
"medzim",223,2,2,2,0.5,0.5,0.5
"npem",223,0,0,4,0,0,0
"ccmm",224,0,0,4,0,0,0
"ldm",224,1,2,3,0.333333333333333,0.25,0.285714285714286
"hima",224,0,0,4,0,0,0
"microbvs",224,1,3,3,0.25,0.25,0.25
"medzim",224,1,2,3,0.333333333333333,0.25,0.285714285714286
"npem",224,0,0,4,0,0,0
"ccmm",225,0,2,4,0,0,0
"ldm",225,0,2,4,0,0,0
"hima",225,0,0,4,0,0,0
"microbvs",225,1,3,3,0.25,0.25,0.25
"medzim",225,0,2,4,0,0,0
"npem",225,0,0,4,0,0,0
"ccmm",226,1,0,3,1,0.25,0.4
"ldm",226,0,1,4,0,0,0
"microbvs",226,1,3,3,0.25,0.25,0.25
"medzim",226,0,1,4,0,0,0
"npem",226,0,0,4,0,0,0
"ccmm",227,2,0,2,1,0.5,0.666666666666667
"ldm",227,0,1,4,0,0,0
"hima",227,0,0,4,0,0,0
"microbvs",227,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",227,0,0,4,0,0,0
"npem",227,0,0,4,0,0,0
"ccmm",228,0,0,4,0,0,0
"ldm",228,0,1,4,0,0,0
"hima",228,0,0,4,0,0,0
"microbvs",228,1,3,3,0.25,0.25,0.25
"medzim",228,0,1,4,0,0,0
"npem",228,0,0,4,0,0,0
"ccmm",229,0,1,4,0,0,0
"ldm",229,0,1,4,0,0,0
"hima",229,0,0,4,0,0,0
"microbvs",229,4,8,0,0.333333333333333,1,0.5
"medzim",229,0,1,4,0,0,0
"npem",229,0,0,4,0,0,0
"ccmm",230,0,0,4,0,0,0
"ldm",230,0,2,4,0,0,0
"hima",230,0,0,4,0,0,0
"microbvs",230,4,16,0,0.2,1,0.333333333333333
"medzim",230,0,1,4,0,0,0
"npem",230,0,0,4,0,0,0
"ccmm",231,1,1,3,0.5,0.25,0.333333333333333
"ldm",231,0,4,4,0,0,0
"hima",231,0,0,4,0,0,0
"microbvs",231,2,8,2,0.2,0.5,0.285714285714286
"medzim",231,0,2,4,0,0,0
"npem",231,0,0,4,0,0,0
"ccmm",232,1,3,3,0.25,0.25,0.25
"ldm",232,2,7,2,0.222222222222222,0.5,0.307692307692308
"hima",232,0,1,4,0,0,0
"microbvs",232,1,3,3,0.25,0.25,0.25
"medzim",232,0,2,4,0,0,0
"npem",232,0,0,4,0,0,0
"ccmm",233,1,1,3,0.5,0.25,0.333333333333333
"ldm",233,0,4,4,0,0,0
"hima",233,0,0,4,0,0,0
"microbvs",233,0,4,4,0,0,0
"medzim",233,0,2,4,0,0,0
"npem",233,0,0,4,0,0,0
"ccmm",234,0,2,4,0,0,0
"ldm",234,0,2,4,0,0,0
"hima",234,0,0,4,0,0,0
"microbvs",234,1,4,3,0.2,0.25,0.222222222222222
"medzim",234,1,1,3,0.5,0.25,0.333333333333333
"npem",234,0,0,4,0,0,0
"ccmm",235,1,0,3,1,0.25,0.4
"ldm",235,1,0,3,1,0.25,0.4
"hima",235,0,0,4,0,0,0
"microbvs",235,0,4,4,0,0,0
"medzim",235,0,0,4,0,0,0
"npem",235,0,0,4,0,0,0
"ccmm",236,0,0,4,0,0,0
"ldm",236,0,1,4,0,0,0
"hima",236,0,0,4,0,0,0
"microbvs",236,0,4,4,0,0,0
"medzim",236,0,0,4,0,0,0
"npem",236,0,0,4,0,0,0
"ccmm",237,0,2,4,0,0,0
"ldm",237,0,1,4,0,0,0
"hima",237,0,0,4,0,0,0
"microbvs",237,1,3,3,0.25,0.25,0.25
"medzim",237,0,0,4,0,0,0
"npem",237,0,0,4,0,0,0
"ccmm",238,1,0,3,1,0.25,0.4
"ldm",238,1,0,3,1,0.25,0.4
"hima",238,1,0,3,1,0.25,0.4
"microbvs",238,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",238,0,2,4,0,0,0
"npem",238,0,0,4,0,0,0
"ccmm",239,0,0,4,0,0,0
