"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"ldm",27,0,0,4,0,0,0
"microbvs",27,1,3,3,0.25,0.25,0.25
"medzim",27,0,0,4,0,0,0
"npem",27,0,1,4,0,0,0
"ccmm",28,1,0,3,1,0.25,0.4
"ldm",28,0,0,4,0,0,0
"hima",28,0,0,4,0,0,0
"microbvs",28,0,1,4,0,0,0
"medzim",28,0,1,4,0,0,0
"npem",28,0,0,4,0,0,0
"ccmm",29,0,0,4,0,0,0
"ldm",29,0,0,4,0,0,0
"microbvs",29,0,4,4,0,0,0
"medzim",29,0,0,4,0,0,0
"npem",29,0,0,4,0,0,0
"ccmm",30,0,0,4,0,0,0
"ldm",30,0,0,4,0,0,0
"microbvs",30,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",30,0,0,4,0,0,0
"npem",30,0,0,4,0,0,0
"ccmm",31,1,0,3,1,0.25,0.4
"ldm",31,1,0,3,1,0.25,0.4
"microbvs",31,0,4,4,0,0,0
"medzim",31,0,2,4,0,0,0
"npem",31,0,0,4,0,0,0
"ccmm",32,0,0,4,0,0,0
"ldm",32,0,0,4,0,0,0
"microbvs",32,1,3,3,0.25,0.25,0.25
"medzim",32,0,0,4,0,0,0
"npem",32,0,0,4,0,0,0
"ccmm",33,0,0,4,0,0,0
"ldm",33,0,0,4,0,0,0
"microbvs",33,0,4,4,0,0,0
"medzim",33,0,0,4,0,0,0
"npem",33,0,0,4,0,0,0
"ccmm",34,0,0,4,0,0,0
"ldm",34,0,1,4,0,0,0
"microbvs",34,1,3,3,0.25,0.25,0.25
"medzim",34,0,2,4,0,0,0
"npem",34,0,0,4,0,0,0
"ccmm",35,0,0,4,0,0,0
"ldm",35,0,0,4,0,0,0
"microbvs",35,3,8,1,0.272727272727273,0.75,0.4
"medzim",35,0,0,4,0,0,0
"npem",35,0,0,4,0,0,0
"ccmm",36,0,0,4,0,0,0
"ldm",36,0,0,4,0,0,0
"microbvs",36,1,6,3,0.142857142857143,0.25,0.181818181818182
"medzim",36,0,0,4,0,0,0
"npem",36,0,0,4,0,0,0
"ccmm",37,0,0,4,0,0,0
"ldm",37,0,0,4,0,0,0
"hima",37,0,0,4,0,0,0
"microbvs",37,1,3,3,0.25,0.25,0.25
"medzim",37,0,0,4,0,0,0
"npem",37,0,0,4,0,0,0
"ccmm",38,0,0,4,0,0,0
"ldm",38,0,0,4,0,0,0
"microbvs",38,1,5,3,0.166666666666667,0.25,0.2
"medzim",38,0,0,4,0,0,0
"npem",38,0,0,4,0,0,0
"ccmm",39,0,0,4,0,0,0
"ldm",39,0,0,4,0,0,0
"microbvs",39,1,3,3,0.25,0.25,0.25
"medzim",39,0,0,4,0,0,0
"npem",39,0,0,4,0,0,0
"ccmm",40,0,0,4,0,0,0
"ldm",40,0,0,4,0,0,0
"hima",40,0,0,4,0,0,0
"microbvs",40,0,4,4,0,0,0
"medzim",40,0,0,4,0,0,0
"npem",40,0,0,4,0,0,0
"ccmm",41,0,1,4,0,0,0
"ldm",41,0,0,4,0,0,0
"hima",41,0,0,4,0,0,0
"microbvs",41,1,3,3,0.25,0.25,0.25
"medzim",41,0,0,4,0,0,0
"npem",41,0,0,4,0,0,0
"ccmm",42,0,0,4,0,0,0
"ldm",42,0,0,4,0,0,0
"microbvs",42,3,7,1,0.3,0.75,0.428571428571428
"medzim",42,0,0,4,0,0,0
"npem",42,0,1,4,0,0,0
"ccmm",43,1,0,3,1,0.25,0.4
"ldm",43,0,0,4,0,0,0
"hima",43,0,0,4,0,0,0
"microbvs",43,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",43,0,0,4,0,0,0
"npem",43,0,0,4,0,0,0
"ccmm",44,0,0,4,0,0,0
"ldm",44,0,0,4,0,0,0
"microbvs",44,2,2,2,0.5,0.5,0.5
"medzim",44,0,0,4,0,0,0
"npem",44,0,0,4,0,0,0
"ccmm",45,0,0,4,0,0,0
"ldm",45,0,0,4,0,0,0
"microbvs",45,0,4,4,0,0,0
"medzim",45,0,0,4,0,0,0
"npem",45,0,0,4,0,0,0
"ccmm",46,0,0,4,0,0,0
"ldm",46,0,1,4,0,0,0
"microbvs",46,0,4,4,0,0,0
"medzim",46,0,0,4,0,0,0
"npem",46,0,0,4,0,0,0
"ccmm",47,0,0,4,0,0,0
"ldm",47,0,0,4,0,0,0
"microbvs",47,2,2,2,0.5,0.5,0.5
"medzim",47,0,0,4,0,0,0
"npem",47,0,0,4,0,0,0
"ccmm",48,0,0,4,0,0,0
"ldm",48,0,0,4,0,0,0
"microbvs",48,2,5,2,0.285714285714286,0.5,0.363636363636364
"medzim",48,0,0,4,0,0,0
"npem",48,0,0,4,0,0,0
"ccmm",49,0,0,4,0,0,0
"ldm",49,0,2,4,0,0,0
"microbvs",49,2,2,2,0.5,0.5,0.5
"medzim",49,0,0,4,0,0,0
"npem",49,0,0,4,0,0,0
"ccmm",50,0,0,4,0,0,0
"ldm",50,0,0,4,0,0,0
"microbvs",50,0,4,4,0,0,0
"medzim",50,0,0,4,0,0,0
"npem",50,0,0,4,0,0,0
"ccmm",51,0,0,4,0,0,0
"ldm",51,0,0,4,0,0,0
"microbvs",51,0,9,4,0,0,0
"medzim",51,1,0,3,1,0.25,0.4
"npem",51,0,0,4,0,0,0
"ccmm",52,1,0,3,1,0.25,0.4
"ldm",52,0,0,4,0,0,0
"hima",52,0,0,4,0,0,0
"microbvs",52,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",52,0,0,4,0,0,0
"npem",52,0,0,4,0,0,0
"ccmm",53,0,0,4,0,0,0
"ldm",53,0,0,4,0,0,0
"microbvs",53,1,3,3,0.25,0.25,0.25
"medzim",53,0,0,4,0,0,0
"npem",53,0,0,4,0,0,0
"ccmm",54,0,0,4,0,0,0
"ldm",54,0,0,4,0,0,0
"microbvs",54,0,8,4,0,0,0
"medzim",54,0,1,4,0,0,0
"npem",54,0,0,4,0,0,0
"ccmm",55,0,0,4,0,0,0
"ldm",55,0,0,4,0,0,0
"microbvs",55,0,1,4,0,0,0
"medzim",55,0,0,4,0,0,0
"npem",55,0,0,4,0,0,0
"ccmm",56,0,0,4,0,0,0
"ldm",56,0,0,4,0,0,0
"microbvs",56,3,7,1,0.3,0.75,0.428571428571428
"medzim",56,0,0,4,0,0,0
"npem",56,0,0,4,0,0,0
"ccmm",57,0,0,4,0,0,0
"ldm",57,0,1,4,0,0,0
"hima",57,0,0,4,0,0,0
"microbvs",57,0,1,4,0,0,0
"medzim",57,0,1,4,0,0,0
"npem",57,0,0,4,0,0,0
"ccmm",58,0,0,4,0,0,0
"ldm",58,0,0,4,0,0,0
"hima",58,0,0,4,0,0,0
"microbvs",58,1,9,3,0.1,0.25,0.142857142857143
"medzim",58,0,0,4,0,0,0
"npem",58,0,1,4,0,0,0
"ccmm",59,0,0,4,0,0,0
"ldm",59,0,0,4,0,0,0
"microbvs",59,1,3,3,0.25,0.25,0.25
"medzim",59,0,0,4,0,0,0
"npem",59,0,0,4,0,0,0
"ccmm",60,0,0,4,0,0,0
