"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.072,0.37,-2.31106644331661,2.71593901321917,0.9295,0.906
0.55,0.473,-0.937332512424243,1.77380106094144,0.9871,0.179
0.077,0.377,-0.417995010575243,2.94344942876972,0.801,0.363
0.108,0.484,-1.42273920396595,4.300609925647,0.1751,0.22
0.695,0.366,-1.08180626979527,2.59288832884799,0.9024,0.275
0.289,0.162,-2.03613285912313,1.11708988127664,0.8631,0.369
0.243,0.246,-0.992392754508346,2.23109914759376,0.9989,0.758
0.295,0.402,-1.87080482631465,1.99077064679897,0.0861,0.252
0.2,0.819,-0.401614597004543,2.33496632947658,0.9615,0.433
0.001,0.037,-1.59014333371738,4.52506989537709,0.705,0.866
0.224,1,-0.973091833461202,2.20250270103168,0.9663,0.459
0.03,0.001,-2.87840420900471,1.50124197274274,0.0858,0.27
0.998,0.346,-0.88078540109064,2.42625570107863,0.7903,0.101
0.274,0.385,-2.10907197824732,1.54054369894278,0.0185,0.0589410589410589
0.969,0.091,-1.86014517310884,3.0783580907397,0.9991,0.963
0.14,0.843,-1.65408627812662,3.02984126263827,0.7445,0.542
0.09,0.08,-3.00310884032129,2.84572717102619,0.23,0.114
0.036,0.522,-1.37367000227293,3.70532944865198,0.9169,0.241
0.988,0.467,-1.46999680054102,3.55069011621953,0.0241,0.048951048951049
0.173,0.372,-1.2098388372608,2.68871213189728,0.6643,0.289
0.054,0.414,-1.91006313830305,3.00968046826375,0.0355,0.248
1,0.068,-0.227949794509089,4.51620955577323,1,0.638
0.004,0.001,-4.97362296547565,1.03398300810436,0.8955,0.0809190809190809
0.129,0.153,-1.53131329583604,2.71715089671592,0.9995,0.938
0.292,0.596,-0.0798080786017071,4.34018554594167,0.4767,0.227
0.062,0.642,-1.88058809859527,3.36970141511982,0.9955,0.912
0.709,1,-1.87442008043045,2.35211963411306,0.9999,0.207
0.1,0.419,-0.921359294760454,3.14188157549066,0.8688,0.131
0.512,0.421,-0.509506868051559,3.56548519458578,0.9816,0.808
0.482,0.411,-0.886804722527108,2.55048038246525,0.9958,0.62
0.146,0.136,-1.45560809736725,3.06680204694887,0.2397,0.034965034965035
0.505,0.829,-0.724589809579549,2.92127868637725,0.9767,0.72
0.195,0.913,-1.32509370828892,2.44439252784163,0.9939,0.0739260739260739
0.97,0.508,-0.248505840725428,3.64209415634057,0.9641,0.0679320679320679
0.262,0.965,-1.63560361693074,2.20155804861207,0.9979,0.202
0.972,0.314,-0.889536961456689,3.61551296668701,0.9797,0.366
0.116,0.709,-2.25779862565885,1.57871331447934,0.6292,0.392
0.304,0.894,-1.09386935709141,2.98802459615894,0.8245,0.779
0.116,0.603,-1.06616171334213,4.65202835915503,0.7091,0.724
0.005,0.001,-3.73622043310176,0.567826009093327,0.9733,0.825
0.579,0.619,-1.37435391617771,5.2578365165146,0.9979,0.808
0.226,0.116,-0.620564738259516,3.15636585378763,0.9865,0.389
0.055,0.007,-1.63956209926515,2.92949839553798,0.0901,0.041958041958042
0.174,1,-0.384117310625319,3.93285916917507,0.3163,0.001998001998002
0.055,0.001,-2.90961059242083,1.61671155385306,0.9724,0.378
0.035,0.065,-2.09323975531405,1.33593816631966,0.0041995800419958,0.032967032967033
0.013,0.001,-5.28834223074491,2.46658000446129,0.1781,0.0569430569430569
0.375,0.995,-0.417578472616797,3.52538005563876,0.9938,0.003996003996004
0.631,1,-1.75012360867127,2.03418559205059,0.9997,0.618
0.992,0.326,-0.273330656203755,3.39895707296243,0.8891,0.149
0.999,0.994,-1.34413638833991,3.01239483938993,0.9673,0.181
0.384,0.003,0.776395407248672,3.78046975921791,0.9944,0.328
0.695,0.366,-1.08180626979527,2.59288832884799,0.9024,0.275
0.289,0.162,-2.03613285912313,1.11708988127664,0.8631,0.369
0.243,0.246,-0.992392754508346,2.23109914759376,0.9989,0.758
0.295,0.402,-1.87080482631465,1.99077064679897,0.0861,0.252
0.2,0.819,-0.401614597004543,2.33496632947658,0.9615,0.433
0.001,0.037,-1.59014333371738,4.52506989537709,0.705,0.866
0.224,1,-0.973091833461202,2.20250270103168,0.9663,0.459
0.03,0.001,-2.87840420900471,1.50124197274274,0.0858,0.27
0.998,0.346,-0.88078540109064,2.42625570107863,0.7903,0.101
0.274,0.385,-2.10907197824732,1.54054369894278,0.0185,0.0589410589410589
0.969,0.091,-1.86014517310884,3.0783580907397,0.9991,0.963
0.14,0.843,-1.65408627812662,3.02984126263827,0.7445,0.542
0.09,0.08,-3.00310884032129,2.84572717102619,0.23,0.114
0.036,0.522,-1.37367000227293,3.70532944865198,0.9169,0.241
0.988,0.467,-1.46999680054102,3.55069011621953,0.0241,0.048951048951049
0.173,0.372,-1.2098388372608,2.68871213189728,0.6643,0.289
0.054,0.414,-1.91006313830305,3.00968046826375,0.0355,0.248
1,0.068,-0.227949794509089,4.51620955577323,1,0.638
0.004,0.001,-4.97362296547565,1.03398300810436,0.8955,0.0809190809190809
0.129,0.153,-1.53131329583604,2.71715089671592,0.9995,0.938
0.292,0.596,-0.0798080786017071,4.34018554594167,0.4767,0.227
0.062,0.642,-1.88058809859527,3.36970141511982,0.9955,0.912
0.709,1,-1.87442008043045,2.35211963411306,0.9999,0.207
0.1,0.419,-0.921359294760454,3.14188157549066,0.8688,0.131
0.512,0.421,-0.509506868051559,3.56548519458578,0.9816,0.808
0.482,0.411,-0.886804722527108,2.55048038246525,0.9958,0.62
0.146,0.136,-1.45560809736725,3.06680204694887,0.2397,0.034965034965035
0.505,0.829,-0.724589809579549,2.92127868637725,0.9767,0.72
0.195,0.913,-1.32509370828892,2.44439252784163,0.9939,0.0739260739260739
0.97,0.508,-0.248505840725428,3.64209415634057,0.9641,0.0679320679320679
0.262,0.965,-1.63560361693074,2.20155804861207,0.9979,0.202
0.972,0.314,-0.889536961456689,3.61551296668701,0.9797,0.366
0.116,0.709,-2.25779862565885,1.57871331447934,0.6292,0.392
0.304,0.894,-1.09386935709141,2.98802459615894,0.8245,0.779
0.116,0.603,-1.06616171334213,4.65202835915503,0.7091,0.724
0.005,0.001,-3.73622043310176,0.567826009093327,0.9733,0.825
0.579,0.619,-1.37435391617771,5.2578365165146,0.9979,0.808
0.226,0.116,-0.620564738259516,3.15636585378763,0.9865,0.389
0.055,0.007,-1.63956209926515,2.92949839553798,0.0901,0.041958041958042
0.174,1,-0.384117310625319,3.93285916917507,0.3163,0.001998001998002
0.055,0.001,-2.90961059242083,1.61671155385306,0.9724,0.378
0.035,0.065,-2.09323975531405,1.33593816631966,0.0041995800419958,0.032967032967033
0.013,0.001,-5.28834223074491,2.46658000446129,0.1781,0.0569430569430569
0.375,0.995,-0.417578472616797,3.52538005563876,0.9938,0.003996003996004
0.631,1,-1.75012360867127,2.03418559205059,0.9997,0.618
0.992,0.326,-0.273330656203755,3.39895707296243,0.8891,0.149
0.999,0.994,-1.34413638833991,3.01239483938993,0.9673,0.181
0.384,0.003,0.776395407248672,3.78046975921791,0.9944,0.328
0.329,0.172,-0.656329205991229,0.900836017369482,0.7131,0.293
0.193,0.401,-0.565570622139737,1.38340739685615,0.864,0.901
0.748,0.674,0.14045872859016,2.25254001580351,0.517,0.159
0.996,0.623,-0.63323359518021,0.985003692985069,0.9965,0.853
0.942,0.617,-0.571466457043262,1.29906343532483,0.346,0.524
0.861,0.871,-0.715650652177452,1.67625392567488,0.9845,0.883
0.299,0.451,-0.202599952150574,1.62026087364497,0.987,0.365
0.091,0.186,-0.28838647659491,1.49701840283841,0.8929,0.01998001998002
0.236,0.999,-0.52475771567233,2.03626267551908,0.826,0.181
0.101,0.155,-0.79939960265741,2.03199264237826,0.2683,0.22
0.029,0.001,-0.301233446433655,2.30425846140534,0.9767,0.475
0.011,0.087,-0.684921059020666,1.25709784105289,0.5997,0.035964035964036
0.993,0.113,-0.975462625117242,1.36945208679108,0.9985,0.713
0.991,0.665,-0.0851639908624452,2.22335011676623,0.1814,0.103
0.194,0.691,-0.558924720931621,1.25938112761335,0.8515,0.673
0.054,0.604,-0.338356096226458,2.32842667705295,0.3751,0.255
0.977,0.496,-0.420154280244233,1.68288038836944,0.9573,0.584
0.003,0.019,-0.896898482259515,1.13007065418819,0.7945,0.23
0.031,0.192,-0.809958726254068,0.611609787807796,0.9586,0.228
0.396,0.77,-0.437433138017633,1.19128789324674,0.2423,0.017982017982018
0.01,0.035,-0.582212613846221,1.45136629303972,0.7917,0.186
0.209,0.628,-0.866325037351007,1.675995104408,0.9508,0.254
0.156,0.369,-1.0105723936644,1.74136609408285,0.3191,0.566
0.151,0.728,-0.113021699099987,1.81481358832356,0.6847,0.9
0.279,0.24,-0.00269987141618364,1.96630518387941,0.0401,0.0999000999000999
0.042,0.843,-0.487235770820258,1.43044499518292,0.9486,0.376
0.014,0.759,-1.87854409317769,0.96974784635878,0.9989,0.826
0.049,0.928,-0.978856897229045,1.519373592274,0.655,0.291
0.15,0.18,0.160399974722667,2.31923053405605,0.9739,0.772
0.106,0.762,-0.591385385284034,0.806817162695418,0.9693,0.368
0.248,0.942,0.0704214527480811,2.34989973384511,0.592,0.127
0.23,0.996,-0.522001525209257,1.71924764499591,0.9694,0.74
0.004,0.155,-1.83804128487191,1.27126329423815,0.726,0.36
0.246,0.13,-0.608265241313914,1.4241272374788,0.7833,0.448
0.164,0.654,-0.526719583312368,0.99466034102273,0.9185,0.211
0.193,0.36,-0.161694501273402,1.58583876545491,0.8077,0.25
0.427,0.571,-0.465467976384276,1.15750794214914,0.6279,0.0699300699300699
0.032,0.092,0.482280749926478,3.04587439441667,0.1782,0.276
0.001,0.001,-1.76578870991173,0.588361296665589,0.1396,0.864
0.278,0.326,-0.864704148509541,1.26471778411085,0.9217,0.0709290709290709
0.303,0.84,-0.59278090376202,1.70860141601889,0.5374,0.238
0.054,0.33,-0.932737017936705,2.21742498199962,0.1956,0.037962037962038
0.03,0.001,1.59629538114986,4.37989434893816,0.2566,0.013986013986014
0.006,0.001,-0.872490464931551,1.29946355058015,0.8755,0.211
0.095,0.386,-0.0295736283777233,2.06803882181466,0.2155,0.345
0.555,0.738,-0.284421561172527,1.67808696836515,0.8748,0.829
0.201,0.957,-0.268576068538471,2.0952755937898,0.9811,0.0689310689310689
0.904,0.907,-1.54816695701917,0.43176584308638,0.7803,0.481
0.999,0.371,-0.316125421072476,1.63322324456898,0.8605,0.521
0.035,0.22,-0.659273384488964,1.16830297283829,0.8995,0.442
