"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.018,0.917,-0.29931657077938,1.10632975044232,0.1238,0.000999000999000999
0.02,0.023,-0.915481749376189,0.930395740483337,9.99900009999e-05,0.000999000999000999
0.084,0.518,-0.6331542013717,1.19036963755148,0.0005999400059994,0.000999000999000999
0.099,0.161,-0.2716515307328,0.390482276004555,0.0073992600739926,0.020979020979021
0.001,0.001,-0.244929530229223,0.790879658178665,0.8991,0.000999000999000999
0.005,0.006,-0.456863286805541,0.352401998433272,0.6687,0.000999000999000999
0.002,0.084,-1.19735777296412,0.773392535989948,0.2037,0.000999000999000999
0.135,0.452,0.324860405964413,2.61984126717606,0.0021997800219978,0.000999000999000999
0.047,0.015,-0.0451138156854327,1.83592635696236,0.0057994200579942,0.000999000999000999
0.002,0.328,-0.574913686097334,0.521963232840587,0.5292,0.001998001998002
0.118,0.443,-0.430359953946772,1.27321328403026,0.0151,0.000999000999000999
0.952,0.214,0.327271594674962,2.14652507484604,0.0378,0.000999000999000999
0.06,0.224,0.193414628544563,2.03909217890427,0.0008999100089991,0.000999000999000999
0.089,0.048,-0.712030936717013,1.32755857483592,0.027,0.000999000999000999
0.097,0.203,0.175925789970137,1.76172317749897,0.0036996300369963,0.000999000999000999
0.094,0.605,0.869353101975273,2.66464618497469,0.0011998800119988,0.000999000999000999
0.001,0.045,-0.731355242268907,0.370804908852737,0.4431,0.002997002997003
0.001,0.005,-0.172005289794589,0.414391954098907,0.9841,0.00899100899100899
0.985,0.236,-0.29959845003788,1.1816632910808,0.0097990200979902,0.000999000999000999
0.058,0.241,0.792194578465063,2.80204020817174,0.0207,0.000999000999000999
0.001,0.116,-0.330238435670974,0.739205180503814,0.047,0.000999000999000999
0.078,0.167,0.0166697874417255,1.61528487658796,0.0027997200279972,0.000999000999000999
0.03,0.23,0.061370437242267,1.90747118054424,0.2087,0.000999000999000999
0.002,0.922,-0.541278994699722,0.447465766058838,0.8026,0.000999000999000999
0.001,0.001,-0.256575616644781,0.688646898542735,0.0237,0.000999000999000999
0.172,0.715,0.0972935582888802,1.97002421658573,0.0004999500049995,0.000999000999000999
0.206,0.282,-0.444001380294091,1.18263682070469,9.99900009999e-05,0.000999000999000999
0.056,0.97,-0.0851456291141234,1.48126246352787,0.0615,0.000999000999000999
0.041,0.067,-0.202807381394473,1.87491626022937,0.2904,0.000999000999000999
0.004,0.101,-0.213436843593439,1.23790663699704,0.1051,0.000999000999000999
0.002,0.317,-0.988201576756414,0.242391689506847,0.0046995300469953,0.000999000999000999
0.203,0.746,-1.09906893690026,1.59452040385268,0.0002999700029997,0.000999000999000999
0.024,0.067,-0.417573223490655,1.65688356919777,0.0003999600039996,0.000999000999000999
