"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.622,0.43,-0.709232691446476,1.65094378809901,0.9996,0.646666666666667
0.979,0.206,-1.91979357985084,2.57005810162311,0.9999,0.623333333333333
0.717,0.696,-0.842543527171021,3.4745104688215,1,0.98
0.869,0.988,-3.44131266427262,0.724435318992452,1,0.9325
0.686,0.969,-0.672928280473222,3.48488045367909,0.9679,0.875
0.648,0.976,-1.62266063003912,3.4480355050252,0.9757,0.74
1,0.719,-0.0169780013394655,3.2009832053067,1,0.983333333333333
0.986,0.989,-0.883387999312557,3.29013501400067,0.9996,0.645
0.847,0.754,-0.723324300522074,2.34935688985637,0.9994,0.263
0.878,0.971,-0.54550557893493,2.31667247622764,0.9999,0.983
0.919,0.891,-0.515644701552454,4.06943815447402,0.9929,0.439
0.908,0.983,-0.324395131608797,2.00954511238844,0.7582,0.413
0.557,0.635,-0.959075506511314,2.62898014678762,0.9995,0.95
0.684,0.948,-0.515862760064756,2.82041474617695,0.9935,0.975
0.298,0.491,-0.976602385324955,5.97259002985404,0.9849,0.68
0.546,0.806,0.207848948283136,3.62037099733725,0.7393,0.895
0.365,0.516,-0.555643651458384,3.54085012034476,0.0092990700929907,0.328
0.46,0.956,-0.545966448045685,2.74004408171231,0.864,0.645714285714286
0.935,0.908,-0.798503152932208,3.75890921511661,0.9976,0.94
0.336,0.638,-1.47677563748293,1.16067786207279,1,0.98
0.7,0.917,-0.736502939671314,3.01380509345777,0.8125,0.49
0.727,0.805,-0.320829334294109,3.56295420853605,0.9984,0.725
0.181,0.269,-0.968854274683568,4.0591772094765,0.9823,0.762
0.809,0.702,-0.667689000327043,2.85278211355549,1,0.35
0.868,0.939,-1.30566022699827,2.91607205519348,0.9999,0.9925
0.32,0.998,-4.55067583781642,-0.236302121972945,0.9987,0.835
0.899,0.95,-0.840248381504489,3.75683158597545,0.9995,0.863333333333333
0.811,0.963,-0.77544849032174,3.19367361349491,0.9984,0.9
0.705,0.593,-3.21908986062394,1.76493485183585,0.9114,0.316
0.943,0.536,-2.98837813317703,0.493465789333345,0.9676,0.88
0.977,0.641,-1.4350584971989,3.84695154347213,0.9997,0.962857142857143
0.831,0.492,-0.837476282896517,1.40822884993396,0.9835,0.786
0.553,0.636,-4.38959034248382,-0.0185551870703692,0.847,0.128
0.989,0.598,-1.1407970412448,2.56841296890567,0.9996,0.60625
0.461,0.426,-0.14497075540236,5.93952948626813,0.9397,0.575
0.618,0.904,-1.02542631809232,2.16266627942894,0.9992,0.93
0.605,0.983,-0.726925094976278,1.38394705148708,0.9981,0.524
0.596,0.994,-0.0815773029103288,2.87192082550827,0.9012,0.751
0.763,0.901,-1.00208062742896,3.52475597257285,0.9992,0.5825
0.765,0.572,-1.72676533301722,2.84863164149707,0.9988,0.83
0.515,0.775,-0.170846377747212,2.19245772954289,0.9886,0.495555555555556
0.948,0.727,0.10096364333616,3.67914316490481,0.9756,0.448333333333333
0.612,0.796,-0.107911268175477,3.53318459370872,0.9994,1
0.7,0.989,-0.893868486122261,4.04784671092129,0.9886,0.387142857142857
0.598,0.603,-1.20353317844433,3.29675596551789,0.9879,0.738
0.967,0.986,-0.55006384545063,3.55548253205129,0.6543,0.668
0.977,0.985,-0.00674314000930409,3.33220320495081,1,0.88
0.625,0.906,-1.18261869241418,2.09568502003883,0.9893,0.955
0.512,0.348,0.0348588525370107,5.86383137174006,0.6831,0.428
0.982,0.471,-0.906966221277986,2.44254160587925,0.9993,0.418
0.797,0.937,-0.711566016897955,3.64228256970979,0.9757,0.563
0.803,0.873,0.071924632601863,4.06528455824601,0.9365,0.7875
