"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.734,0.606,-0.47327973037497,6.3865789903525,0.972,0.768
1,0.759,-1.62123265448246,2.01240392294792,1.012,0.8775
1,0.374,1.39737484856329,5.59073063082669,0.9728,0.448
0.963,0.828,-0.00016762225982338,10.7350886208744,0.78685,0.49125
0.951,0.925,-1.39889390098912,2.41961482424111,0.9957,0.706666666666667
0.966,0.798,-3.48901604674014,1.87374678687702,0.82505,0.67
0.926,0.611,-0.419655284884846,5.78703336032634,0.8169,0.59
1,0.841,-5.27016196686296,0.75139008327155,0.77475,0.472
0.01,0.17,1.69089849289256,5.49047343358463,0.3718,0.446
0.222,0.283,0.91525127052485,5.79776428909863,0.9999,0.585
0.293,0.65,0.482989392088913,4.92493885773338,0.727,0.588
0.921,0.197,-1.81011038595691,5.65560289394822,0.8075,0.542
0.473,0.804,2.53692211839363,6.17764906417709,0.0938,0.475
0.972,0.858,-1.24374105956342,4.45238064371382,0.99415,0.855
0.924,0.522,2.17867008537565,8.46722688084151,0.2213,0.168
0.785,0.659,-0.774446076942382,4.88434100752094,0.87685,0.775
0.289,0.136,-24.0882592275719,-16.1481762649376,0.9793,0.793
0.998,0.607,-0.356652148188865,7.62753596420571,0.81795,0.544
0.957,0.724,0.953667012252848,6.24601860759219,0.0544,0.323
1,0.876,-2.31437805147444,3.10006403809872,1.0152,0.87
0.01,0.225,1.48413362164888,7.71303068998959,0.5532,0.31
1,0.509,1.61295713424362,6.88796445749351,0.8563,0.554
0.819,0.958,-5.19430813922377,2.93458181754113,1.0188,0.9675
0.708,0.975,-5.47108350935086,2.69614963445039,1.0179,0.97
0.647,0.87,5.12058672403624,12.981988201524,0.0862,0.458
0.09,0.497,5.06850430247805,12.1878045783492,0.9961,0.542
0.599,0.958,-2.53407339742616,3.719679802037,1.0265,0.945
0.145,0.286,8.41648054337309,14.1249368792326,0.237,0.75
0.69,0.701,-2.23742779050181,3.2490919931818,0.9974,0.8425
0.044,0.384,4.32889857681805,8.96255325399775,0.9936,0.949
0.974,0.932,8.42937971539492,15.03523221204,0.7559,0.023976023976024
0.122,0.412,1.30682470692532,5.41346912652676,0.3132,0.48
0.187,0.863,0.808565244283257,5.33912773980266,0.0177,0.321
0.982,0.772,-0.033690190551555,4.86922041870921,0.1563,0.494
0.338,0.716,-1.45839343607933,4.90887171991138,0.93415,0.825
0.524,0.758,0.609449037434822,6.27580902659744,0.9808,0.51
0.02,0.286,6.62029859191781,12.2540453930789,0.6328,0.593
0.979,0.372,-1.35234348214931,2.98350385858625,0.9355,0.39
1,0.787,-0.518375681810212,6.54388180159342,0.8316,0.61875
0.995,0.96,-7.01781890680605,0.369418710710072,0.8168,0.588
0.253,0.465,-0.678678756630679,8.45015723825031,0.40915,0.33
0.074,0.668,1.20373896994508,6.7509172501563,0.9995,0.884
0.066,0.281,-5.20614646794738e-05,7.40026791456807,0.3985,0.146
0.985,0.647,7.0850435586249,14.2508814961189,0.0722,0.333
0.988,0.014,-25.794728761532,-17.4813953886625,0.0266,0.335
0.935,0.886,-4.93423015441634,1.04049752933143,0.90465,0.72
0.135,0.222,-25.1834662056815,-15.5502479290017,0.0132,0.161
0.984,0.671,0.826703968144402,5.26566188334337,0.9077,0.623
0.479,0.016,-0.192290474684623,5.82838994342615,0.35135,0.175
1,0.313,0.773047864498696,5.47727963454528,0.5085,0.504
0.035,0.444,2.3994829284001,7.53761470945607,0.5739,0.592
0.369,0.979,-0.959747015211602,1.67449993844006,0.9996,0.668
0.488,0.776,-1.43201429382594,2.40744725671465,0.9721,0.595
0.966,0.798,-3.48901604674014,1.87374678687702,0.82505,0.67
0.926,0.611,-0.419655284884846,5.78703336032634,0.8169,0.59
1,0.841,-5.27016196686296,0.75139008327155,0.77475,0.472
0.01,0.17,1.69089849289256,5.49047343358463,0.3718,0.446
0.222,0.283,0.91525127052485,5.79776428909863,0.9999,0.585
0.293,0.65,0.482989392088913,4.92493885773338,0.727,0.588
0.921,0.197,-1.81011038595691,5.65560289394822,0.8075,0.542
0.473,0.804,2.53692211839363,6.17764906417709,0.0938,0.475
0.972,0.858,-1.24374105956342,4.45238064371382,0.99415,0.855
0.924,0.522,2.17867008537565,8.46722688084151,0.2213,0.168
0.785,0.659,-0.774446076942382,4.88434100752094,0.87685,0.775
0.289,0.136,-24.0882592275719,-16.1481762649376,0.9793,0.793
0.998,0.607,-0.356652148188865,7.62753596420571,0.81795,0.544
0.957,0.724,0.953667012252848,6.24601860759219,0.0544,0.323
1,0.876,-2.31437805147444,3.10006403809872,1.0152,0.87
0.01,0.225,1.48413362164888,7.71303068998959,0.5532,0.31
1,0.509,1.61295713424362,6.88796445749351,0.8563,0.554
0.819,0.958,-5.19430813922377,2.93458181754113,1.0188,0.9675
0.708,0.975,-5.47108350935086,2.69614963445039,1.0179,0.97
0.647,0.87,5.12058672403624,12.981988201524,0.0862,0.458
0.09,0.497,5.06850430247805,12.1878045783492,0.9961,0.542
0.599,0.958,-2.53407339742616,3.719679802037,1.0265,0.945
0.145,0.286,8.41648054337309,14.1249368792326,0.237,0.75
0.69,0.701,-2.23742779050181,3.2490919931818,0.9974,0.8425
0.044,0.384,4.32889857681805,8.96255325399775,0.9936,0.949
0.974,0.932,8.42937971539492,15.03523221204,0.7559,0.023976023976024
0.122,0.412,1.30682470692532,5.41346912652676,0.3132,0.48
0.187,0.863,0.808565244283257,5.33912773980266,0.0177,0.321
0.982,0.772,-0.033690190551555,4.86922041870921,0.1563,0.494
0.338,0.716,-1.45839343607933,4.90887171991138,0.93415,0.825
0.524,0.758,0.609449037434822,6.27580902659744,0.9808,0.51
0.02,0.286,6.62029859191781,12.2540453930789,0.6328,0.593
0.979,0.372,-1.35234348214931,2.98350385858625,0.9355,0.39
1,0.787,-0.518375681810212,6.54388180159342,0.8316,0.61875
0.995,0.96,-7.01781890680605,0.369418710710072,0.8168,0.588
0.253,0.465,-0.678678756630679,8.45015723825031,0.40915,0.33
0.074,0.668,1.20373896994508,6.7509172501563,0.9995,0.884
0.066,0.281,-5.20614646794738e-05,7.40026791456807,0.3985,0.146
0.985,0.647,7.0850435586249,14.2508814961189,0.0722,0.333
0.988,0.014,-25.794728761532,-17.4813953886625,0.0266,0.335
0.935,0.886,-4.93423015441634,1.04049752933143,0.90465,0.72
0.135,0.222,-25.1834662056815,-15.5502479290017,0.0132,0.161
0.984,0.671,0.826703968144402,5.26566188334337,0.9077,0.623
0.479,0.016,-0.192290474684623,5.82838994342615,0.35135,0.175
1,0.313,0.773047864498696,5.47727963454528,0.5085,0.504
0.035,0.444,2.3994829284001,7.53761470945607,0.5739,0.592
0.369,0.979,-0.959747015211602,1.67449993844006,0.9996,0.668
0.911,0.196,-0.0332141667833876,1.42372139509495,0.8266,0.588
0.792,0.72,2.14924446279895,5.66127232946479,0.6704,0.712
0.823,0.742,0.144014980164276,3.24339021128085,0.8705,0.524
0.133,0.602,1.09524509411789,3.67476273976656,0.5398,0.302
0.002,0.051,0.25038103294811,3.41796311769317,0.3225,0.183
0.049,0.752,-0.903538608474888,2.99187084285735,0.5006,0.831
0.595,0.768,-0.211151266099964,1.14053231239925,0.9962,0.737
0.638,0.073,-1.21043620628559,0.251859127847583,0.1029,0.0869130869130869
0.997,0.596,-0.579430673619569,2.95952268090796,0.1069,0.31
0.99,0.357,-1.31381721695454,0.485313262145958,0.85335,0.676666666666667
0.737,0.624,-0.976529172830515,0.450927168769966,0.53275,0.486
0.352,0.505,3.20799911412602e-06,1.63431215543932,0.37395,0.178
0.623,0.84,-0.390383258189531,1.22165446792282,0.9943,0.789
0.002,0.126,1.45106869439369,4.85072412415965,0.8289,0.373
0.695,0.548,-0.274890481109714,1.05055043271777,0.7688,0.433
0.49,0.563,-0.0198460760644075,2.08168440025078,0.4348,0.245
0.229,0.82,4.11961475634041,7.95713915584619,0.9837,0.841
0.987,0.409,-1.06484084390048,0.431183186772591,0.84325,0.723333333333333
0.529,0.963,-0.493398378813994,0.782632649903849,1.01435,0.985
0.861,0.606,-0.294336859018501,0.917314147285235,0.95655,0.85
0.058,0.282,1.73918215141519,5.41383292825859,0.6508,0.164
0.723,0.775,-0.507982827399722,1.56579936513132,0.9176,0.528
0.998,0.755,3.4484416093848,6.91471402319564,0.596,0.181
0.645,0.879,3.4484416093848,6.91471402319564,1.0168,0.8925
1,0.277,1.46478589716102,4.33670979770858,0.6455,0.428
